lig_1,lig_2,freenrg,error,engine
1a,3a,2.2394,0.2006,SOMD
3a,1a,1.6127,0.1797,SOMD
1a,1b,0.3168,0.1012,SOMD
1b,1a,1.0709,0.0936,SOMD
5k,5o,-3.0207,717.3673,SOMD
5o,5k,3.3977,579.5094,SOMD
5k,5m,-0.6839,0.0448,SOMD
5m,5k,0.8557,0.0508,SOMD
5c,5a,2.0355,0.1391,SOMD
5a,5c,-0.9895,0.133,SOMD
5c,5b,0.3932,0.0757,SOMD
5b,5c,-0.3598,0.0731,SOMD
5j,5b,1.1689,0.059,SOMD
5b,5j,-0.5978,0.0774,SOMD
5j,5d,1.1892,0.062,SOMD
5d,5j,-1.6405,0.0596,SOMD
3b,3a,0.8646,0.0588,SOMD
3a,3b,-0.8485,0.0571,SOMD
3b,5d,-0.7999,0.0491,SOMD
5d,3b,-0.8777,0.0637,SOMD
5a,3a,0.871,0.0475,SOMD
3a,5a,0.4957,0.0447,SOMD
5b,5l,-0.6873,0.1124,SOMD
5l,5b,0.249,0.0628,SOMD
3a,1b,-0.1438,0.1067,SOMD
1b,3a,-0.0139,0.098,SOMD
5g,5h,1.4893,0.1078,SOMD
5h,5g,-1.2664,0.095,SOMD
5g,5i,0.1038,0.0454,SOMD
5i,5g,-0.3223,0.0456,SOMD
5f,5l,-1.0547,0.064,SOMD
5l,5f,1.3264,0.0602,SOMD
5f,5i,0.0241,0.0436,SOMD
5i,5f,0.619,0.0482,SOMD
5o,5m,9.024,922.8447,SOMD
5m,5o,-3.4576,0.2514,SOMD
5e,7,0.0769,0.0841,SOMD
7,5e,0.4244,0.0826,SOMD
5e,5d,-0.1635,0.1128,SOMD
5d,5e,0.3243,0.0814,SOMD
7,5d,-0.3624,0.0427,SOMD
5d,7,1.8925,0.0387,SOMD
5h,5i,-0.9696,0.0877,SOMD
5i,5h,0.9696,0.0877,SOMD
5n,5d,1.4053,0.2858,SOMD
5d,5n,-1.4053,0.2858,SOMD
5n,5p,-0.181,0.1202,SOMD
5p,5n,0.083,0.1219,SOMD
5d,5p,1.317,0.2956,SOMD
5p,5d,-1.317,0.2956,SOMD
5d,5m,-0.995,0.0992,SOMD
5m,5d,0.995,0.0992,SOMD
5m,5i,1.3147,0.059,SOMD
5i,5m,-1.3147,0.059,SOMD
