lig_1,lig_2,freenrg,error,engine
1a,3a,-1.5304,0.1754,SOMD
3a,1a,0.2437,0.2371,SOMD
1a,1b,-1.4729,0.0914,SOMD
1b,1a,0.722,0.1005,SOMD
5k,5c,1.2646,0.1653,SOMD
5c,5k,0.3921,0.1619,SOMD
5k,5j,-0.4283,0.0836,SOMD
5j,5k,0.2553,0.089,SOMD
5k,5a,2.1955,0.0818,SOMD
5a,5k,-1.4832,0.0883,SOMD
5k,5e,1.167,0.0998,SOMD
5e,5k,-0.5462,0.099,SOMD
5k,5h,2.9026,0.1043,SOMD
5h,5k,-1.8123,0.1019,SOMD
5k,5m,-0.1118,0.0474,SOMD
5m,5k,0.6024,0.0451,SOMD
5c,5b,0.738,0.0785,SOMD
5b,5c,1.3719,0.0799,SOMD
5j,5m,0.2164,0.1242,SOMD
5m,5j,-0.1251,0.1137,SOMD
3b,3a,0.639,0.0566,SOMD
3a,3b,-1.3,0.0541,SOMD
3b,5l,-1.3313,0.1185,SOMD
5l,3b,1.2654,0.1104,SOMD
5b,7,4.9586,0.0898,SOMD
7,5b,-1.5434,0.0924,SOMD
3a,5d,-0.3167,0.0759,SOMD
5d,3a,0.7485,0.0828,SOMD
5g,5f,0.7851,0.0742,SOMD
5f,5g,-0.6927,0.0728,SOMD
5g,7,-0.4305,0.1503,SOMD
7,5g,-1.2643,0.1489,SOMD
5f,5i,-0.4874,0.0451,SOMD
5i,5f,0.6617,0.0463,SOMD
5o,7,-3.0811,0.3678,SOMD
7,5o,-9.2959,0.7798,SOMD
5o,5n,1.1373,0.1049,SOMD
5n,5o,-0.9733,0.0964,SOMD
5o,5p,1.1532,0.1591,SOMD
5p,5o,-0.7037,0.1755,SOMD
5l,5e,1.0338,0.1534,SOMD
5e,5l,-1.4724,0.2058,SOMD
5l,7,3.1306,0.117,SOMD
7,5l,-2.0999,0.1283,SOMD
7,1b,0.1611,1.0352,SOMD
1b,7,-1.4411,0.9323,SOMD
7,5d,1.1421,0.0392,SOMD
5d,7,0.2169,0.041,SOMD
7,5i,1.2336,0.1231,SOMD
5i,7,1.3856,0.1204,SOMD
5h,5m,-1.8616,0.1084,SOMD
5m,5h,2.2088,0.1218,SOMD
5n,5p,-0.0453,0.126,SOMD
5p,5n,0.2582,0.1445,SOMD
5p,5i,-0.9849,0.3535,SOMD
5i,5p,-0.7136,0.3498,SOMD
