lig_1,lig_2,freenrg,error,engine
1a,3a,2.2394,0.2006,SOMD
3a,1a,1.6127,0.1797,SOMD
1a,1b,0.3168,0.1012,SOMD
1b,1a,1.0709,0.0936,SOMD
5k,5c,0.0925,0.155,SOMD
5c,5k,-0.9535,0.1716,SOMD
5k,5j,-0.8564,0.0832,SOMD
5j,5k,0.743,0.0843,SOMD
5k,5a,1.8264,0.0921,SOMD
5a,5k,-1.188,0.085,SOMD
5k,5e,0.8499,0.0988,SOMD
5e,5k,-1.0602,0.0988,SOMD
5k,5h,1.4847,0.0962,SOMD
5h,5k,-1.2279,0.1009,SOMD
5k,5m,-0.6839,0.0448,SOMD
5m,5k,0.8557,0.0508,SOMD
5c,5b,0.3932,0.0757,SOMD
5b,5c,-0.3598,0.0731,SOMD
5j,5m,0.4417,0.1203,SOMD
5m,5j,-0.6603,0.1091,SOMD
3b,3a,0.8646,0.0588,SOMD
3a,3b,-0.8485,0.0571,SOMD
3b,5l,-1.8262,0.1128,SOMD
5l,3b,1.0124,0.1253,SOMD
5b,7,0.6587,0.0918,SOMD
7,5b,0.0906,0.0969,SOMD
3a,5d,-2.1039,0.0747,SOMD
5d,3a,-0.0779,0.0777,SOMD
5g,5f,0.7381,0.0741,SOMD
5f,5g,-0.6226,0.0771,SOMD
5g,7,0.2148,0.1587,SOMD
7,5g,0.0402,0.1571,SOMD
5f,5i,0.0241,0.0436,SOMD
5i,5f,0.619,0.0482,SOMD
5o,7,11.5427,0.6776,SOMD
7,5o,1.3922,225.0979,SOMD
5o,5n,0.6451,0.0914,SOMD
5n,5o,-1.2003,0.1035,SOMD
5o,5p,0.8155,0.1567,SOMD
5p,5o,-1.2205,0.153,SOMD
5l,5e,1.5881,0.1515,SOMD
5e,5l,-1.1986,0.1518,SOMD
5l,7,4.0261,0.1099,SOMD
7,5l,0.4706,0.1072,SOMD
7,1b,4.0076,1.2395,SOMD
1b,7,4.0455,0.7983,SOMD
7,5d,-0.3624,0.0427,SOMD
5d,7,1.8925,0.0387,SOMD
7,5i,0.1525,0.1242,SOMD
5i,7,0.1686,0.1174,SOMD
5h,5m,-1.6564,0.1014,SOMD
5m,5h,2.5691,0.1094,SOMD
5n,5p,-0.181,0.1202,SOMD
5p,5n,0.083,0.1219,SOMD
5p,5i,-0.4106,0.3704,SOMD
5i,5p,-0.7807,0.3406,SOMD
