lig_1,lig_2,freenrg,error,engine
1a,3a,-1.1167,0.1835,SOMD
3a,1a,0.9231,0.1896,SOMD
1a,1b,-1.4349,0.0989,SOMD
1b,1a,1.1471,0.0951,SOMD
5k,5o,4.4515,963.0206,SOMD
5o,5k,2.7013,0.5479,SOMD
5k,5m,-0.3068,0.0443,SOMD
5m,5k,0.6177,0.0449,SOMD
5c,5a,0.0555,0.1338,SOMD
5a,5c,-1.1767,0.1274,SOMD
5c,5b,-0.4413,0.0758,SOMD
5b,5c,-0.8623,0.0753,SOMD
5j,5b,0.7992,0.062,SOMD
5b,5j,-0.7753,0.0577,SOMD
5j,5d,1.1989,0.0575,SOMD
5d,5j,-1.1309,0.0709,SOMD
3b,3a,0.9247,0.0538,SOMD
3a,3b,-0.7613,0.0541,SOMD
3b,5d,0.8787,0.0469,SOMD
5d,3b,0.3687,0.0493,SOMD
5a,3a,1.4171,0.0488,SOMD
3a,5a,-0.3708,0.0463,SOMD
5b,5l,-0.3414,0.0619,SOMD
5l,5b,0.3241,0.0689,SOMD
3a,1b,0.8573,0.1048,SOMD
1b,3a,0.9982,0.1192,SOMD
5g,5h,1.8516,0.0953,SOMD
5h,5g,-1.3779,0.0953,SOMD
5g,5i,0.5268,0.0431,SOMD
5i,5g,-0.4064,0.0433,SOMD
5f,5l,-1.3334,0.061,SOMD
5l,5f,1.13,0.061,SOMD
5f,5i,-0.811,0.0452,SOMD
5i,5f,0.3847,0.0437,SOMD
5o,5m,2.139,0.2687,SOMD
5m,5o,2.4226,0.3707,SOMD
5e,7,0.4708,0.0806,SOMD
7,5e,-1.666,0.0848,SOMD
5e,5d,0.1,0.0786,SOMD
5d,5e,0.0957,0.0755,SOMD
7,5d,1.132,0.0399,SOMD
5d,7,0.0553,0.0411,SOMD
5h,5i,-0.8733,0.0943,SOMD
5i,5h,0.6583,0.0911,SOMD
5n,5d,2.0153,835.9762,SOMD
5d,5n,-4.347,859.9543,SOMD
5n,5p,-0.0286,0.1254,SOMD
5p,5n,-0.3191,0.1246,SOMD
5d,5p,-0.0339,0.2993,SOMD
5p,5d,-0.6849,0.2962,SOMD
5d,5m,-1.4306,0.0901,SOMD
5m,5d,1.0274,0.0976,SOMD
5m,5i,1.4705,0.0583,SOMD
5i,5m,-1.0105,0.0582,SOMD
