lig_1,lig_2,freenrg,error,engine
1a,3a,-0.9993,0.2032,SOMD
3a,1a,1.5081,0.1791,SOMD
1a,1b,-1.032,0.0946,SOMD
1b,1a,0.2386,0.1037,SOMD
5k,5o,4.4003,0.2731,SOMD
5o,5k,0.6629,0.2767,SOMD
5k,5m,-0.6541,0.0447,SOMD
5m,5k,0.3681,0.0546,SOMD
5c,5a,0.4491,0.131,SOMD
5a,5c,-2.5833,0.1238,SOMD
5c,5b,-0.5447,0.073,SOMD
5b,5c,-0.0865,0.0785,SOMD
5j,5b,1.2556,0.0597,SOMD
5b,5j,-0.6016,0.0575,SOMD
5j,5d,1.6573,0.0582,SOMD
5d,5j,-1.1325,0.067,SOMD
3b,3a,0.543,0.0638,SOMD
3a,3b,-1.107,0.0569,SOMD
3b,5d,0.5061,0.0481,SOMD
5d,3b,-0.4237,0.0509,SOMD
5a,3a,-0.5233,0.0539,SOMD
3a,5a,-0.1613,0.0474,SOMD
5b,5l,-0.5643,0.0589,SOMD
5l,5b,0.361,0.0644,SOMD
3a,1b,-1.0848,0.1132,SOMD
1b,3a,-0.2197,0.1005,SOMD
5g,5h,1.8384,0.1004,SOMD
5h,5g,-0.2958,0.0977,SOMD
5g,5i,0.5461,0.0427,SOMD
5i,5g,-0.6006,0.0468,SOMD
5f,5l,-0.9572,0.0607,SOMD
5l,5f,1.7052,0.0573,SOMD
5f,5i,0.0302,0.0459,SOMD
5i,5f,-0.3303,0.0447,SOMD
5o,5m,-1.1901,730.373,SOMD
5m,5o,-12.1279,345.9373,SOMD
5e,7,0.504,0.0842,SOMD
7,5e,1.6304,0.0862,SOMD
5e,5d,-0.1091,0.0843,SOMD
5d,5e,0.2218,0.071,SOMD
7,5d,-0.0695,0.0433,SOMD
5d,7,0.4543,0.0428,SOMD
5h,5i,-1.2145,0.0946,SOMD
5i,5h,0.2035,0.1043,SOMD
5n,5d,-5.4877,743.1113,SOMD
5d,5n,-0.4256,0.2625,SOMD
5n,5p,0.1045,0.1209,SOMD
5p,5n,0.0594,0.1258,SOMD
5d,5p,-0.7095,0.2707,SOMD
5p,5d,1.4375,0.2861,SOMD
5d,5m,-1.0586,0.102,SOMD
5m,5d,0.685,0.0999,SOMD
5m,5i,1.0746,0.0584,SOMD
5i,5m,-1.1919,0.0593,SOMD
