index,CID,SMILES
17403,MAT-POS-4223bc15-6,CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
16940,MAT-POS-dd3ad2b5-4,CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
17399,MAT-POS-4223bc15-2,CN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
17400,MAT-POS-4223bc15-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CC2)Cc2ccc(Cl)cc21
17401,MAT-POS-4223bc15-4,COCCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
17402,MAT-POS-4223bc15-5,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CCO)Cc2ccc(Cl)cc21
17409,MAT-POS-4223bc15-12,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1
17411,MAT-POS-4223bc15-14,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CNC2)Cc2ccc(Cl)cc21
17876,MAT-POS-dc2604c4-1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1
17877,MAT-POS-dc2604c4-2,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1
17879,MAT-POS-dc2604c4-4,N#CCCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
18004,ALF-EVA-07677224-7,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1
18006,ALF-EVA-07677224-9,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CNC1
18661,ALF-EVA-0e90125c-4,CN(C)CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
18939,EDJ-MED-76744c27-1,CC(C)(C#N)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
18941,EDJ-MED-76744c27-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC2)Cc2ccc(Cl)cc21
18943,EDJ-MED-76744c27-5,CC(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
18945,EDJ-MED-76744c27-7,COC(C)(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
18983,BRU-THA-4b053743-1,N#CC1(CS(=O)(=O)N2Cc3ccc(F)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1
19030,EDJ-MED-4fff0a85-2,CC(C)(CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1)S(C)(=O)=O
19031,EDJ-MED-4fff0a85-3,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1
19032,EDJ-MED-4fff0a85-4,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21
19050,MAT-POS-5cd9ea36-9,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2(F)CC2)Cc2ccc(Cl)cc21
19051,MAT-POS-5cd9ea36-10,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1
19052,MAT-POS-5cd9ea36-11,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC2(F)F)Cc2ccc(Cl)cc21
19053,MAT-POS-5cd9ea36-12,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC23CC3)Cc2ccc(Cl)cc21
19057,MAT-POS-5cd9ea36-16,CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
19060,MAT-POS-5cd9ea36-19,CC(C)N(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
19061,MAT-POS-5cd9ea36-20,CN(C1CC1)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
19065,MAT-POS-5cd9ea36-24,N#CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
19362,EDJ-MED-7f6e5b75-1,CC(C)(O)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
20213,ALP-POS-395d3f9b-1,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2(C(F)(F)F)CC2)Cc2ccc(Cl)cc21
20735,PET-UNK-94036022-8,C#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1
