cdk8,32~33,~N[1*]C1CC1,3
cdk8,33~32,N[1*]C1CC1~,3
cdk8,32~40,C[1*]N~C[1*]N1CCNCC1,6
cdk8,40~32,C[1*]N1CCNCC1~C[1*]N,6
cdk8,32~18,c[1*]c1cnn(C)c1~N[3*]C.c[1*]:cnn(:[2*])C,7
cdk8,18~32,N[3*]C.c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1,7
cdk8,32~35,C[1*]N~C[1*]N1CC(O)C1,5
cdk8,35~32,C[1*]N1CC(O)C1~C[1*]N,5
cdk8,32~30,C[1*]N~C[1*]N1CC[C@H](O)C1,7
cdk8,30~32,C[1*]N1CC[C@H](O)C1~C[1*]N,7
cdk8,32~24,c[1*]C(N)=O~c[1*]NC(C)=O,4
cdk8,24~32,c[1*]NC(C)=O~c[1*]C(N)=O,4
cdk8,32~25,c[1*]C(N)=O~c[1*]NS(C)(=O)=O,5
cdk8,25~32,c[1*]NS(C)(=O)=O~c[1*]C(N)=O,5
cdk8,32~41,C[1*]N~C[1*]N1CCCCC1,6
cdk8,41~32,C[1*]N1CCCCC1~C[1*]N,6
cdk8,32~36,C[1*]N~C[1*]N1CC(OC)C1,6
cdk8,36~32,C[1*]N1CC(OC)C1~C[1*]N,6
cdk8,32~28,c[1*]C(N)=O~c[1*]N1CCOCC1,6
cdk8,28~32,c[1*]N1CCOCC1~c[1*]C(N)=O,6
cdk8,32~20,~N[2*]C.C[1*]C(C)(C)O,5
cdk8,20~32,N[2*]C.C[1*]C(C)(C)O~,5
cdk8,32~16,c[1*]c1cnn(C)c1~N[2*]C.c[1*]C,7
cdk8,16~32,N[2*]C.c[1*]C~c[1*]c1cnn(C)c1,7
cdk8,32~15,c[1*]c1cnn(C)c1~N[3*]C.c[1*]OC.c[2*]OC,9
cdk8,15~32,N[3*]C.c[1*]OC.c[2*]OC~c[1*]c1cnn(C)c1,9
cdk8,32~26,c[1*]C(N)=O~c[1*]N1CCCC1=O,6
cdk8,26~32,c[1*]N1CCCC1=O~c[1*]C(N)=O,6
cdk8,32~17,c[1*]c1cnn(C)c1~N[3*]C.c[1*]:n(C)nc:[2*],7
