lig_1,lig_2,freenrg,error,engine
1a,3a,2.2394,0.2006,SOMD
1a,1b,0.3168,0.1012,SOMD
5k,5c,0.0925,0.155,SOMD
5k,5j,-0.8564,0.0832,SOMD
5k,5a,1.8264,0.0921,SOMD
5k,5e,0.8499,0.0988,SOMD
5k,5h,1.4847,0.0962,SOMD
5k,5m,-0.6839,0.0448,SOMD
5c,5b,0.3932,0.0757,SOMD
5j,5m,0.4417,0.1203,SOMD
3b,3a,0.8646,0.0588,SOMD
3b,5l,-1.8262,0.1128,SOMD
5b,7,0.6587,0.0918,SOMD
3a,5d,-2.1039,0.0747,SOMD
5g,5f,0.7381,0.0741,SOMD
5g,7,0.2148,0.1587,SOMD
5f,5i,0.0241,0.0436,SOMD
5o,7,11.5427,0.6776,SOMD
5o,5n,0.6451,0.0914,SOMD
5o,5p,0.8155,0.1567,SOMD
5l,5e,1.5881,0.1515,SOMD
5l,7,4.0261,0.1099,SOMD
7,1b,4.0076,1.2395,SOMD
7,5d,-0.3624,0.0427,SOMD
7,5i,0.1525,0.1242,SOMD
5h,5m,-1.6564,0.1014,SOMD
5n,5p,-0.181,0.1202,SOMD
5p,5i,-0.4106,0.3704,SOMD
5k,5o,-3.0207,717.3673,SOMD
5c,5a,2.0355,0.1391,SOMD
5j,5b,1.1689,0.059,SOMD
5j,5d,1.1892,0.062,SOMD
3b,5d,-0.7999,0.0491,SOMD
5a,3a,0.871,0.0475,SOMD
5b,5l,-0.6873,0.1124,SOMD
3a,1b,-0.1438,0.1067,SOMD
5g,5h,1.4893,0.1078,SOMD
5g,5i,0.1038,0.0454,SOMD
5f,5l,-1.0547,0.064,SOMD
5o,5m,9.024,922.8447,SOMD
5e,7,0.0769,0.0841,SOMD
5e,5d,-0.1635,0.1128,SOMD
5h,5i,-0.9696,0.0877,SOMD
5n,5d,1.4053,0.2858,SOMD
5d,5p,1.317,0.2956,SOMD
5d,5m,-0.995,0.0992,SOMD
5m,5i,1.3147,0.059,SOMD
lig_1,lig_2,freenrg,error,engine
3a,1a,1.6127,0.1797,SOMD
1b,1a,1.0709,0.0936,SOMD
5c,5k,-0.9535,0.1716,SOMD
5j,5k,0.743,0.0843,SOMD
5a,5k,-1.188,0.085,SOMD
5e,5k,-1.0602,0.0988,SOMD
5h,5k,-1.2279,0.1009,SOMD
5m,5k,0.8557,0.0508,SOMD
5b,5c,-0.3598,0.0731,SOMD
5m,5j,-0.6603,0.1091,SOMD
3a,3b,-0.8485,0.0571,SOMD
5l,3b,1.0124,0.1253,SOMD
7,5b,0.0906,0.0969,SOMD
5d,3a,-0.0779,0.0777,SOMD
5f,5g,-0.6226,0.0771,SOMD
7,5g,0.0402,0.1571,SOMD
5i,5f,0.619,0.0482,SOMD
7,5o,1.3922,225.0979,SOMD
5p,5o,-1.2205,0.153,SOMD
5n,5o,-1.2003,0.1035,SOMD
5e,5l,-1.1986,0.1518,SOMD
7,5l,0.4706,0.1072,SOMD
1b,7,4.0455,0.7983,SOMD
5d,7,1.8925,0.0387,SOMD
5i,7,0.1686,0.1174,SOMD
5m,5h,2.5691,0.1094,SOMD
5p,5n,0.083,0.1219,SOMD
5i,5p,-0.7807,0.3406,SOMD
5o,5k,3.3977,579.5094,SOMD
5a,5c,-0.9895,0.133,SOMD
5b,5j,-0.5978,0.0774,SOMD
5d,5j,-1.6405,0.0596,SOMD
5d,3b,-0.8777,0.0637,SOMD
3a,5a,0.4957,0.0447,SOMD
5l,5b,0.249,0.0628,SOMD
1b,3a,-0.0139,0.098,SOMD
5h,5g,-1.2664,0.095,SOMD
5i,5g,-0.3223,0.0456,SOMD
5l,5f,1.3264,0.0602,SOMD
5m,5o,-3.4576,0.2514,SOMD
7,5e,0.4244,0.0826,SOMD
5d,5e,0.3243,0.0814,SOMD
