lig_1,lig_2,freenrg,error,engine
1a,3a,-1.902,0.1759,SOMD
1a,1b,-0.821,0.0883,SOMD
5k,5c,0.1854,0.1601,SOMD
5k,5j,-0.4558,0.0852,SOMD
5k,5a,1.6424,0.0883,SOMD
5k,5e,1.1027,0.0944,SOMD
5k,5h,0.6788,0.0898,SOMD
5k,5m,-0.3172,0.0492,SOMD
5c,5b,-0.0211,0.0797,SOMD
5j,5m,0.4239,0.1092,SOMD
3b,3a,1.3074,0.0601,SOMD
3b,5l,-0.2439,0.12,SOMD
5b,7,0.8656,0.0967,SOMD
3a,5d,-1.125,0.0737,SOMD
5g,5f,0.6295,0.077,SOMD
5g,7,2.2822,0.1558,SOMD
5f,5i,-0.253,0.0471,SOMD
5o,7,3.4899,220.4952,SOMD
5o,5n,0.9616,0.1085,SOMD
5o,5p,0.677,0.1785,SOMD
5l,5e,1.45,0.1582,SOMD
5l,7,2.4168,0.1156,SOMD
7,5d,-0.3472,0.0396,SOMD
7,5i,-0.14,0.1214,SOMD
5h,5m,-2.3105,0.1118,SOMD
5n,5p,-0.1512,0.1164,SOMD
5p,5i,0.3798,0.402,SOMD
5k,5o,0.5922,0.3038,SOMD
5c,5a,1.0999,0.13,SOMD
5j,5b,0.9273,0.0565,SOMD
5j,5d,1.1798,0.0613,SOMD
3b,5d,-0.026,0.0517,SOMD
3a,1b,0.267,0.1195,SOMD
5a,3a,-0.0465,0.0491,SOMD
5b,5l,-0.7198,0.0628,SOMD
5g,5h,1.504,0.102,SOMD
5g,5i,0.509,0.0476,SOMD
5f,5l,-1.5196,0.0632,SOMD
5o,5m,-1.3491,258.5454,SOMD
5e,7,0.3923,0.0937,SOMD
5e,5d,0.0838,0.0754,SOMD
5h,5i,-1.3687,0.0906,SOMD
5n,5d,0.0625,0.2637,SOMD
5d,5p,1.8803,0.2859,SOMD
5d,5m,-0.4619,0.0968,SOMD
5m,5i,0.5365,0.0566,SOMD
lig_1,lig_2,freenrg,error,engine
3a,1a,1.8843,0.1844,SOMD
1b,1a,1.1673,0.0926,SOMD
5c,5k,1.8066,0.1486,SOMD
5j,5k,0.7426,0.0908,SOMD
5a,5k,-1.3885,0.0813,SOMD
5e,5k,-0.3791,0.0962,SOMD
5h,5k,-2.378,0.1021,SOMD
5m,5k,0.0821,0.0445,SOMD
5b,5c,0.2195,0.0768,SOMD
5m,5j,-1.0645,0.115,SOMD
3a,3b,-0.4297,0.0581,SOMD
5l,3b,0.8472,0.1137,SOMD
7,5b,-0.7153,0.0967,SOMD
5d,3a,1.6314,0.0803,SOMD
5f,5g,-0.7654,0.0726,SOMD
7,5g,-0.7334,0.1599,SOMD
5i,5f,0.2329,0.0423,SOMD
7,5o,-2.5669,0.3339,SOMD
5n,5o,-1.3445,0.1049,SOMD
5p,5o,-1.0778,0.1545,SOMD
5e,5l,-0.0042,0.1848,SOMD
7,5l,-1.3037,0.1122,SOMD
1b,7,-0.6093,2.2132,SOMD
5d,7,1.1277,0.0413,SOMD
5i,7,-0.475,0.1344,SOMD
5m,5h,1.3528,0.1169,SOMD
5p,5n,0.3622,0.1188,SOMD
5i,5p,2.2431,0.3661,SOMD
5o,5k,1.5497,0.2807,SOMD
5a,5c,-1.2667,0.1335,SOMD
5b,5j,-0.448,0.0847,SOMD
5d,5j,-1.6601,0.0566,SOMD
5d,3b,0.8239,0.0467,SOMD
3a,5a,0.595,0.0468,SOMD
5l,5b,0.6624,0.0629,SOMD
1b,3a,1.1719,0.1222,SOMD
5h,5g,-1.0778,0.0994,SOMD
5i,5g,-0.4569,0.0435,SOMD
5l,5f,1.1341,0.0595,SOMD
5m,5o,-11.0423,0.6751,SOMD
7,5e,-0.1408,0.0911,SOMD
5d,5e,-0.0812,0.0769,SOMD
5i,5h,0.5485,0.0865,SOMD
5d,5n,7.7833,0.3041,SOMD
5p,5d,2.1119,0.3235,SOMD
5m,5d,0.6293,0.0945,SOMD
5i,5m,-0.6868,0.0564,SOMD
