pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
ejm_55~jmc_27_free,31.627715,37.664065,31.70026,30.666238,31.471062,2.545985672639106
ejm_46~ejm_31_bound,-36.9592,-35.709364,-37.456133,-37.535975,fail,0.7304016987100318
ejm_45~ejm_54_free,-54.950371,-55.016568,-54.692462,-54.900174,-54.890915,0.10843401421140866
ejm_45~jmc_23_free,-13.077899,-13.083579,-16.875441,-13.302307,-16.721276,1.7875705714710783
jmc_23~ejm_42_free,17.573562,16.932812,14.700805,17.214943,16.801007,1.0073857096845076
ejm_55~ejm_48_bound,42.814213,41.818111,42.133643,42.57588,43.349849,0.5326483821540806
ejm_43~ejm_31_free,-44.490964,-44.491228,-44.365355,-44.426841,-44.446236,0.04673433514408762
ejm_48~ejm_50_free,47.615223,48.883439,47.700692,46.323753,48.480803,0.8787080923164414
ejm_45~jmc_23_bound,-14.173654,-14.36866,-13.456573,0.564413,-13.305299,5.770462870642341
ejm_48~ejm_49_free,-2.442018,2.351109,1.857837,-3.98511,fail,2.7200065545230308
ejm_55~ejm_54_free,-33.487273,-33.387655,-33.409239,-33.33126,-33.626865,0.10228017192711461
jmc_27~ejm_49_bound,13.519161,11.743423,13.368329,14.784516,14.79868,1.1258621511509124
jmc_28~ejm_48_free,6.197874,6.116079,6.794657,5.952432,6.299422,0.2849041914099545
ejm_48~jmc_30_free,10.106403,10.584831,9.709276,9.110778,10.704381,0.5857363017738956
ejm_55~ejm_48_free,37.580853,42.053592,41.644406,40.73878,41.692878,1.6390021236335732
jmc_23~ejm_44_bound,52.630311,54.857542,57.314053,33.540493,55.492297,8.742417741815693
jmc_28~ejm_31_free,-28.148906,-27.990292,-28.099022,-28.298027,-28.437398,0.15659679722906258
jmc_27~ejm_43_bound,21.487586,27.214835,30.752513,26.102522,21.495882,3.5492283761333026
ejm_44~ejm_42_bound,-37.896323,-35.978616,-40.058664,-38.453677,-37.165028,1.3563004900405509
jmc_23~ejm_46_bound,31.174407,31.57591,31.805645,32.193865,32.036842,0.3588137522032296
ejm_55~jmc_23_bound,13.090013,13.191121,13.242803,12.943983,14.386207,0.5178287821917977
ejm_48~ejm_44_bound,29.127005,27.45711,31.164989,33.148926,fail,2.138909165643612
ejm_43~ejm_42_free,-20.780672,-20.783552,-20.919183,-20.855417,-20.781235,0.05547798156890744
ejm_55~ejm_42_free,31.071014,31.024212,31.079807,31.044094,31.179711,0.05371096852077843
jmc_28~ejm_31_bound,-26.984426,-29.57695,-28.464542,-26.846529,-28.215767,1.010886296861403
jmc_27~ejm_42_bound,-0.913641,2.244116,0.247247,-10.104293,fail,4.739542735135024
jmc_23~jmc_27_free,17.148723,17.119453,17.115454,17.045086,17.136351,0.036003821333852624
ejm_55~ejm_43_bound,51.968293,54.204743,52.051079,53.200131,52.178427,0.8649631387109159
ejm_44~ejm_49_bound,-26.355416,-23.107369,-2.126955,-22.37396,-23.059674,8.748920194016435
ejm_47~ejm_49_bound,-5.890062,-7.11665,-6.620105,-5.701217,-5.52538,0.6020624771199081
jmc_28~jmc_23_bound,-22.874059,-23.046056,-23.091678,-22.88364,-22.912629,0.08965762474346592
jmc_28~jmc_23_free,-22.084433,-22.104635,-22.113207,-21.983062,-22.126476,0.0514943192773724
ejm_45~ejm_49_bound,20.073146,19.485477,18.45958,-2.408885,19.156108,8.696625939867012
jmc_23~ejm_43_free,19.426272,38.145435,37.613859,37.852233,42.599291,8.063129715990435
ejm_48~jmc_30_bound,12.276631,9.923987,9.699206,12.119963,10.75448,1.075552121570796
ejm_46~ejm_42_free,-14.040116,-13.602945,-14.007948,-1.193255,-13.878226,5.077960558713823
jmc_28~jmc_30_bound,30.448562,29.341588,30.657664,30.772505,30.5577,0.5182198604138587
ejm_47~ejm_48_bound,-14.857204,-4.287602,-3.332009,-5.133382,fail,4.636625705923509
ejm_54~ejm_44_bound,93.354899,96.206068,94.714258,94.086527,95.849099,1.0652189085891013
ejm_54~ejm_31_free,36.569103,36.452936,36.470698,36.471985,36.358752,0.0668616540369725
ejm_47~ejm_55_free,-49.473955,-47.068081,-49.66959,-48.97255,-49.459818,0.9583457803843868
ejm_43~ejm_49_bound,4.203485,-3.828582,-5.511083,-4.027853,-5.122611,3.5872682085180307
jmc_27~jmc_30_free,21.085006,21.185488,21.217033,21.049874,21.197943,0.06672005504614051
ejm_45~ejm_50_bound,60.450814,60.952781,61.538441,56.752432,61.206678,1.7503246838619857
jmc_23~ejm_44_free,58.469097,40.774322,53.109232,45.125345,52.85542,6.299198578938924
ejm_42~ejm_31_free,-23.520238,-23.764819,-23.699481,-23.778851,-23.7472,0.09480405432554044
ejm_55~ejm_42_bound,31.899265,31.583692,31.74915,31.344416,31.685612,0.18492206874464748
ejm_54~ejm_49_free,79.966864,79.792826,79.468047,79.415432,79.104065,0.30213288324139753
ejm_45~ejm_50_free,57.546274,57.724523,60.776884,60.437399,60.926412,1.5173396426504662
ejm_43~jmc_30_free,-0.876791,0.996863,1.324184,-0.202416,1.828453,1.001482336679105
ejm_31~ejm_50_bound,82.309522,82.291349,82.259408,82.460213,82.551073,0.11216680935285807
ejm_42~ejm_31_bound,-23.379603,-23.022188,-22.963687,-23.668612,-23.45364,0.26686045959864474
ejm_54~jmc_27_bound,64.562706,65.622475,69.611517,67.525379,65.781761,1.7719504224477176
ejm_47~ejm_48_free,-2.840652,-9.911212,-3.11307,-3.169091,-3.146798,2.740084872647824
jmc_27~ejm_46_bound,14.765463,14.089128,14.641562,14.966389,14.133928,0.34899636700745185
ejm_47~jmc_27_free,-20.450834,-20.137932,-19.742641,-19.440753,-18.841359,0.5584353943436606
ejm_55~jmc_27_bound,30.955014,31.670516,30.391305,31.387252,31.605321,0.4763867697426538
jmc_27~ejm_49_free,12.104337,12.3989,12.230359,12.059093,11.991565,0.14396176785577466
ejm_55~ejm_54_bound,-34.308644,-34.155405,-34.284059,-32.7081,-34.443304,0.6424337828958241
ejm_45~ejm_43_free,27.131423,5.654948,23.216785,22.480463,22.588921,7.478108809747929
jmc_23~jmc_30_free,38.150653,38.272454,38.289827,38.275636,38.255395,0.05027767840702395
jmc_28~ejm_42_free,-4.640344,-4.635292,-4.529078,-4.553131,-12.010387,2.968695562884453
jmc_28~ejm_55_free,-35.814985,-32.038506,-35.354632,-35.672676,-34.919013,1.395089442706898
ejm_47~ejm_50_bound,37.015113,39.229569,10.606635,fail,fail,13.00249495896322
ejm_46~ejm_50_bound,45.649527,44.558489,45.293327,46.501789,fail,0.6991233374634268
ejm_54~ejm_48_free,76.4555,75.845186,74.889271,76.820642,73.955841,1.047867605259558
ejm_55~ejm_43_free,51.881138,51.962736,52.03178,51.898152,51.933391,0.05327251404467277
jmc_23~ejm_31_bound,-8.625437,-4.223274,-0.955003,-3.955688,-4.791215,2.451260115266644
ejm_44~ejm_49_free,-21.275592,2.429423,0.983826,-29.323686,-20.112919,12.791397231010263
ejm_47~ejm_31_bound,-41.166052,-43.018811,-40.045333,-27.554951,-41.031967,5.587492862545863
jmc_30~ejm_50_bound,39.392811,26.223824,35.816562,37.441184,27.297099,5.416462632089656
ejm_45~jmc_30_bound,23.768187,27.717767,-2.365141,24.624289,26.99495,11.35047603890356
ejm_45~ejm_46_bound,18.180088,-2.654618,23.160041,17.123635,17.615171,8.935738974752084
ejm_48~ejm_31_bound,-31.356591,-22.140314,-34.890134,-32.185597,-30.690309,4.300296930332091
jmc_28~ejm_50_free,55.344386,53.506763,54.629162,53.335138,53.402078,0.8045607342384038
jmc_28~ejm_54_bound,-72.533924,-66.706356,-71.87905,-72.210379,-71.715253,2.169664969545908
ejm_47~ejm_49_free,-7.10302,-5.495865,-6.492606,-6.441437,-0.349569,2.467587356491729
ejm_44~jmc_27_free,-35.358374,-35.760016,-40.343059,-27.316873,fail,4.688060684756036
jmc_28~ejm_43_bound,20.71464,18.492486,17.334781,-0.435823,17.868014,7.701758398139495
ejm_45~ejm_55_free,-29.349659,-29.384414,-29.228308,-29.089868,-29.30359,0.10463589181614516
ejm_48~ejm_46_bound,5.301874,-0.812705,4.333056,3.351969,fail,2.3307014994197024
jmc_27~ejm_31_free,-24.230428,-24.158922,-24.340453,-23.319803,-24.184677,0.3687973315514091
ejm_43~ejm_46_bound,-6.237912,-7.158742,-7.962677,fail,fail,0.7046712139832781
ejm_44~ejm_31_bound,-62.013419,-59.051654,-64.507124,-60.739232,-59.234772,2.012329579963523
jmc_28~ejm_46_bound,8.533736,8.356241,9.273372,8.930858,8.55144,0.3303611049149704
jmc_27~ejm_46_free,13.945391,14.055936,13.896064,14.10196,13.858893,0.09295347805735937
jmc_28~ejm_44_free,31.521942,32.147753,31.314953,31.597793,30.991328,0.3798763203840963
jmc_28~ejm_49_free,8.029037,7.945864,8.045324,8.380928,7.926002,0.1643191317065668
jmc_28~ejm_48_bound,4.878797,6.546608,3.853726,10.959722,6.332747,2.4310206139497046
ejm_55~ejm_46_bound,46.089723,44.638243,44.711643,45.905384,45.106409,0.6018710182162272
jmc_30~ejm_42_free,-22.400075,-20.741081,-21.777236,-21.749111,-21.666917,0.5317177976731641
ejm_45~jmc_28_free,8.498357,8.890995,8.445773,8.45764,8.364381,0.18496933080962374
ejm_50~ejm_49_bound,-43.37104,-43.520614,-43.347866,-43.551215,-42.620141,0.3405104965145143
ejm_47~ejm_43_free,1.92341,2.029281,1.387915,2.077824,1.721399,0.2518204577133479
ejm_54~ejm_44_free,92.897932,92.795677,93.116939,93.408687,92.917498,0.21722474812470316
ejm_48~ejm_50_bound,38.250808,45.052716,51.607909,46.204063,50.806033,4.791599047234458
ejm_45~ejm_31_bound,-22.170145,-21.886204,-21.247886,-21.210766,-25.596895,1.6294844168911098
ejm_46~ejm_50_free,43.727991,45.397723,44.974994,fail,fail,0.708811308637683
ejm_47~jmc_28_bound,-13.946719,-15.413681,-14.668725,-15.861351,-14.730264,0.6597259106210703
ejm_54~ejm_31_bound,38.021842,37.184139,38.149159,38.066984,37.923697,0.3501638538806639
ejm_48~jmc_23_bound,-33.582674,-30.593641,-28.988745,-27.18406,fail,2.351044777975421
