pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
1~338_hif2a,12.140602,15.04882,14.623435,16.329936,11.998668,0.9259339274298986
338~1_hif2a,-14.054924,-18.979043,-13.4155,-13.331145,-12.751022,0.9259339274298986
30~21_cdk8,-116.079948,91.131445,81.871521,42.924537,87.584376,33.074823403820545
21~30_cdk8,116.079948,-91.131445,-81.871521,-42.924537,-87.584376,33.074823403820545
lig_p38a_2bb~lig_p38a_2q_p38,76.219969,86.183307,94.08935,-0.654953,93.529118,20.46297461316781
lig_p38a_2q~lig_p38a_2bb_p38,-76.219969,-86.183307,-94.08935,0.654953,-93.529118,20.46297461316781
1a~5o_tnks2,33.598919,35.855654,32.85051,35.316728,31.612744,0.8803395121856717
5o~1a_tnks2,-30.080194,-29.457992,-27.203656,-27.938326,-31.286335,0.8803395121856717
47~23_pfkfb3,60.744051,60.714422,59.375181,61.719462,63.006874,0.8007356664800848
23~47_pfkfb3,-67.596367,-60.845709,-62.89111,-63.478386,-65.152035,0.8007356664800848
CHEMBL3259820~CHEMBL3265028_syk,73.057128,75.583334,75.532165,76.198336,74.057087,0.8648852245904759
CHEMBL3265028~CHEMBL3259820_syk,-75.036587,-76.941956,-73.891806,-71.434828,-75.171097,0.8648852245904759
CHEMBL3265026~CHEMBL3265025_syk,-33.981053,-36.629957,-35.534884,-36.126349,-40.193721,0.7032533903939575
CHEMBL3265025~CHEMBL3265026_syk,36.965857,37.476738,33.677476,37.20976,37.472239,0.7032533903939575
252~61_hif2a,-12.949875,-11.065486,-14.373449,-15.759019,-11.299674,1.3293319304104578
61~252_hif2a,11.989309,14.954889,14.270117,15.947843,23.849475,1.3293319304104578
57~20_pfkfb3,-6.615852,-6.493449,-6.507759,-5.939823,-4.341611,0.35689391145895466
20~57_pfkfb3,6.615852,6.493449,6.507759,5.939823,4.341611,0.35689391145895466
CHEMBL3265014~CHEMBL3265005_syk,40.648504,44.070332,43.444295,45.135461,44.03635,0.5265536567708711
CHEMBL3265005~CHEMBL3265014_syk,-40.648504,-44.070332,-43.444295,-45.135461,-44.03635,0.5265536567708711
84~43_hif2a,6.142682,20.199126,12.297932,4.207458,5.816656,1.7417949259699306
43~84_hif2a,-6.488462,-1.727974,-11.323358,-5.049651,-3.227906,1.7417949259699306
lig_18635-1~lig_17124-1_jnk1,-7.529523,-7.5183,-7.457154,-7.775377,-7.802367,0.12647883135135185
lig_17124-1~lig_18635-1_jnk1,7.944493,7.223644,7.372319,7.194342,7.219727,0.12647883135135185
lig_18626-1~lig_18660-1_jnk1,-60.724387,-62.905892,-60.826119,-61.243764,-59.295286,1.5123579401564164
lig_18660-1~lig_18626-1_jnk1,57.967515,58.986865,61.586856,68.985868,56.005894,1.5123579401564164
lig_p38a_2o~lig_p38a_2z_p38,142.342321,137.777076,142.532022,135.323798,141.203839,0.9801758774566894
lig_p38a_2z~lig_p38a_2o_p38,-142.342321,-137.777076,-142.532022,-135.323798,-141.203839,0.9801758774566894
CHEMBL3265029~CHEMBL3265037_syk,57.779321,57.469724,56.947241,56.354118,57.277762,0.13361158820929012
CHEMBL3265037~CHEMBL3265029_syk,-56.436673,-57.156187,-56.682462,-56.850497,-56.585316,0.13361158820929012
53~23_pfkfb3,73.597383,74.156293,72.481758,73.621208,72.155433,0.2544590174639076
23~53_pfkfb3,-71.834574,-72.699864,-72.096107,-71.771277,-71.766654,0.2544590174639076
lig_p38a_2o~lig_p38a_2m_p38,152.866004,151.094443,148.188388,151.500548,154.526061,1.081844755585155
lig_p38a_2m~lig_p38a_2o_p38,-154.66795,-155.114371,-148.786226,-152.233195,-151.940226,1.081844755585155
67~338_hif2a,-110.764308,-113.904106,-113.035563,-106.411316,-114.34717,1.1909989048980252
338~67_hif2a,110.764308,113.904106,113.035563,106.411316,114.34717,1.1909989048980252
CHEMBL3265010~CHEMBL3265028_syk,24.93922,24.464994,26.729311,26.213947,29.711718,1.7154074578133192
