pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
67~42_67~42,64.140875,63.540487,64.192797,64.47422,65.003909,0.24333866614664415
lig_p38a_2o~lig_p38a_2m_lig_p38a_2o~lig_p38a_2m,152.866004,151.094443,148.188388,151.500548,154.526061,1.030113700125605
53~46_53~46,9.439713,9.48259,9.726676,9.790696,9.871942,0.05524415364250184
lig_18652-1~lig_18624-1_lig_18652-1~lig_18624-1,180.833816,182.625423,182.545189,185.204061,180.684587,0.6530508483007714
23~42_23~42,-71.43527,-73.713588,-76.035991,-76.974319,-71.440746,0.9490784377534601
54~34_54~34,25.655926,29.425383,29.434787,29.594296,30.829007,0.49038785058320017
CHEMBL3265027~CHEMBL3259820_CHEMBL3265027~CHEMBL3259820,-123.609596,-126.517222,-128.3697,-126.520347,-126.723232,0.494137316899712
48~31_48~31,190.013071,192.025627,191.909985,189.068692,194.05304,0.9986287329973991
lig_21~lig_32_lig_21~lig_32,-124.719169,-129.268738,-129.849953,-127.950613,-130.323937,0.9204153725634858
30~39_30~39,-228.002684,-223.342089,-229.520881,-221.485472,-224.069891,1.1711972950878642
62~67_62~67,-62.14083,-62.723256,-60.470562,-60.714664,-62.025336,0.34820422785115607
64~67_64~67,-68.012098,-57.696909,-59.008081,-58.05756,-56.640513,1.5395320553598295
lig_p38a_2p~lig_p38a_2s_lig_p38a_2p~lig_p38a_2s,93.663175,93.622634,96.179553,101.409444,99.794591,1.4468100952859613
lig_p38a_2bb~lig_p38a_2g_lig_p38a_2bb~lig_p38a_2g,90.943593,96.878244,92.672324,93.430741,96.622418,0.992393298008647
lig_23468~lig_23482_lig_23468~lig_23482,-144.404499,-130.241388,-109.926214,-134.235553,-122.140125,4.862049043982386
CHEMBL3259820~CHEMBL3265010_CHEMBL3259820~CHEMBL3265010,-38.136732,-36.488294,-38.671673,-39.248045,-37.69744,0.6425708151354936
30~58_30~58,-101.879335,-112.08872,-177.028456,-142.970901,-66.443072,13.318694597926436
84~43_84~43,6.142682,20.199126,12.297932,4.207458,5.816656,1.8334107904213723
CHEMBL3265029~CHEMBL3265010_CHEMBL3265029~CHEMBL3265010,-126.830003,-125.304357,-126.499487,-126.139935,-128.720683,0.36496554210052584
53~23_53~23,73.597383,74.156293,72.481758,73.621208,72.155433,0.3317881857562533
CHEMBL3265022~CHEMBL3265011_CHEMBL3265022~CHEMBL3265011,-44.080742,-44.433059,-42.247849,-43.051025,-38.305325,0.6069590008982645
336~7b_336~7b,-23.441006,-16.748967,-25.394855,-23.236689,-27.295286,1.209522004433317
lig_18660-1~lig_18628-1_lig_18660-1~lig_18628-1,57.398911,56.646934,58.050993,60.435604,63.150031,0.7380119235106748
3b~5h_3b~5h,-13.778617,-12.975636,-12.433144,-14.396628,-15.698537,0.34960403293040937
