ref_perturbation,ref_target,num_ha_perturbed,newlig1_smi,newlig2_smi,input_smarts
32~33,cdk8,3,c1ccccc1,c1ccc(NC2CC2)cc1,~N[1*]C1CC1
33~32,cdk8,3,c1ccc(NC2CC2)cc1,c1ccccc1,N[1*]C1CC1~
32~40,cdk8,6,NCc1ccccc1,c1ccc(CN2CCNCC2)cc1,C[1*]N~C[1*]N1CCNCC1
40~32,cdk8,6,c1ccc(CN2CCNCC2)cc1,NCc1ccccc1,C[1*]N1CCNCC1~C[1*]N
32~18,cdk8,7,Cn1cc(-c2ccccc2)cn1,CNc1cccc2c1cnn2C,c[1*]c1cnn(C)c1~N[3*]C.c[1*]:cnn(:[2*])C
18~32,cdk8,7,CNc1cccc2c1cnn2C,Cn1cc(-c2ccccc2)cn1,N[3*]C.c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1
32~35,cdk8,5,NCc1ccccc1,OC1CN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC(O)C1
35~32,cdk8,5,OC1CN(Cc2ccccc2)C1,NCc1ccccc1,C[1*]N1CC(O)C1~C[1*]N
32~30,cdk8,7,NCc1ccccc1,O[C]1CCN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC[C@H](O)C1
30~32,cdk8,7,O[C]1CCN(Cc2ccccc2)C1,NCc1ccccc1,C[1*]N1CC[C@H](O)C1~C[1*]N
32~24,cdk8,4,NC(=O)c1ccccc1,CC(=O)Nc1ccccc1,c[1*]C(N)=O~c[1*]NC(C)=O
24~32,cdk8,4,CC(=O)Nc1ccccc1,NC(=O)c1ccccc1,c[1*]NC(C)=O~c[1*]C(N)=O
32~25,cdk8,5,NC(=O)c1ccccc1,CS(=O)(=O)Nc1ccccc1,c[1*]C(N)=O~c[1*]NS(C)(=O)=O
25~32,cdk8,5,CS(=O)(=O)Nc1ccccc1,NC(=O)c1ccccc1,c[1*]NS(C)(=O)=O~c[1*]C(N)=O
32~41,cdk8,6,NCc1ccccc1,c1ccc(CN2CCCCC2)cc1,C[1*]N~C[1*]N1CCCCC1
41~32,cdk8,6,c1ccc(CN2CCCCC2)cc1,NCc1ccccc1,C[1*]N1CCCCC1~C[1*]N
32~36,cdk8,6,NCc1ccccc1,COC1CN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC(OC)C1
36~32,cdk8,6,COC1CN(Cc2ccccc2)C1,NCc1ccccc1,C[1*]N1CC(OC)C1~C[1*]N
32~28,cdk8,6,NC(=O)c1ccccc1,c1ccc(N2CCOCC2)cc1,c[1*]C(N)=O~c[1*]N1CCOCC1
28~32,cdk8,6,c1ccc(N2CCOCC2)cc1,NC(=O)c1ccccc1,c[1*]N1CCOCC1~c[1*]C(N)=O
32~20,cdk8,5,c1ccccc1,CNc1ccccc1CC(C)(C)O,~N[2*]C.C[1*]C(C)(C)O
20~32,cdk8,5,CNc1ccccc1CC(C)(C)O,c1ccccc1,N[2*]C.C[1*]C(C)(C)O~
32~16,cdk8,7,Cn1cc(-c2ccccc2)cn1,CNc1ccccc1C,c[1*]c1cnn(C)c1~N[2*]C.c[1*]C
16~32,cdk8,7,CNc1ccccc1C,Cn1cc(-c2ccccc2)cn1,N[2*]C.c[1*]C~c[1*]c1cnn(C)c1
32~15,cdk8,9,Cn1cc(-c2ccccc2)cn1,CNc1cccc(OC)c1OC,c[1*]c1cnn(C)c1~N[3*]C.c[1*]OC.c[2*]OC
15~32,cdk8,9,CNc1cccc(OC)c1OC,Cn1cc(-c2ccccc2)cn1,N[3*]C.c[1*]OC.c[2*]OC~c[1*]c1cnn(C)c1
32~26,cdk8,6,NC(=O)c1ccccc1,O=C1CCCN1c1ccccc1,c[1*]C(N)=O~c[1*]N1CCCC1=O
26~32,cdk8,6,O=C1CCCN1c1ccccc1,NC(=O)c1ccccc1,c[1*]N1CCCC1=O~c[1*]C(N)=O
32~17,cdk8,7,Cn1cc(-c2ccccc2)cn1,CNc1cccc2cnn(C)c12,c[1*]c1cnn(C)c1~N[3*]C.c[1*]:n(C)nc:[2*]
17~32,cdk8,7,CNc1cccc2cnn(C)c12,Cn1cc(-c2ccccc2)cn1,N[3*]C.c[1*]:n(C)nc:[2*]~c[1*]c1cnn(C)c1
32~29,cdk8,7,NC(=O)c1ccccc1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(N)=O~c[1*]S(=O)(=O)NC1CC1
29~32,cdk8,7,O=S(=O)(NC1CC1)c1ccccc1,NC(=O)c1ccccc1,c[1*]S(=O)(=O)NC1CC1~c[1*]C(N)=O
32~21,cdk8,6,NC(=O)c1ccccc1,Cn1cnc(-c2ccccc2)c1,c[1*]C(N)=O~c[1*]c1cn(C)cn1
21~32,cdk8,6,Cn1cnc(-c2ccccc2)c1,NC(=O)c1ccccc1,c[1*]c1cn(C)cn1~c[1*]C(N)=O
32~37,cdk8,5,NCc1ccccc1,c1ccc(CN2CCCC2)cc1,C[1*]N~C[1*]N1CCCC1
37~32,cdk8,5,c1ccc(CN2CCCC2)cc1,NCc1ccccc1,C[1*]N1CCCC1~C[1*]N
32~34,cdk8,6,NCc1ccccc1,FC1(F)CN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC(F)(F)C1
34~32,cdk8,6,FC1(F)CN(Cc2ccccc2)C1,NCc1ccccc1,C[1*]N1CC(F)(F)C1~C[1*]N
32~39,cdk8,6,NCc1ccccc1,c1ccc(CN2CCOCC2)cc1,C[1*]N~C[1*]N1CCOCC1
39~32,cdk8,6,c1ccc(CN2CCOCC2)cc1,NCc1ccccc1,C[1*]N1CCOCC1~C[1*]N
32~22,cdk8,6,NC(=O)c1ccccc1,Cn1ccnc1-c1ccccc1,c[1*]C(N)=O~c[1*]c1nccn1C
22~32,cdk8,6,Cn1ccnc1-c1ccccc1,NC(=O)c1ccccc1,c[1*]c1nccn1C~c[1*]C(N)=O
32~38,cdk8,7,NCc1ccccc1,FC1(F)CCN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CCC(F)(F)C1
38~32,cdk8,7,FC1(F)CCN(Cc2ccccc2)C1,NCc1ccccc1,C[1*]N1CCC(F)(F)C1~C[1*]N
