,PCX,Highest contributing feature
0,PC1,VE1_D
1,PC2,ETA_dEpsilon_A
2,PC3,BCUTdv-1l
3,PC4,GATS1v
4,PC5,AXp-2d
5,PC6,NddssS
6,PC7,AATSC6v
7,PC8,SssO
8,PC9,TopoPSA(NO)
9,PC10,ATSC2p
10,PC11,AATSC7i
11,PC12,GATS6c
12,PC13,AATSC1v
13,PC14,ATSC2Z
14,PC15,MATS4are
15,PC16,RotRatio
16,PC17,SMR_VSA4
17,PC18,SsCl
18,PC19,n10FRing
19,PC20,n6Ring
20,PC21,SlogP_VSA1
21,PC22,n3Ring
22,PC23,n6Ring
23,PC24,MAXssNH
24,PC25,PEOE_VSA5
25,PC26,nI
26,PC27,AATSC5c
27,PC28,VSA_EState3
28,PC29,n10FARing
29,PC30,SaaO
30,PC31,NdsCH
31,PC32,NsI
32,PC33,SsssN
33,PC34,n4Ring
34,PC35,n5ARing
35,PC36,PEOE_VSA12
36,PC37,MAXsOH
37,PC38,n5ARing
38,PC39,AATS7dv
39,PC40,ATSC7s
40,PC41,SdsCH
41,PC42,ATSC6c
42,PC43,GATS3Z
43,PC44,ATSC7v
44,PC45,SaaO
45,PC46,n4HRing
46,PC47,MAXssNH
47,PC48,C3SP3
48,PC49,PEOE_VSA13
49,PC50,n9FAHRing
50,PC51,GGI10
51,PC52,n10FARing
52,PC53,n8FRing
53,PC54,MINsssCH
54,PC55,ATSC7c
55,PC56,EState_VSA2
56,PC57,ATSC5i
57,PC58,Xc-6dv
58,PC59,C2SP1
59,PC60,AATS7dv
60,PC61,nAcid
61,PC62,ATSC7c
62,PC63,ATSC4c
63,PC64,n8FRing
64,PC65,PEOE_VSA13
65,PC66,JGI10
66,PC67,MDEN-13
67,PC68,EState_VSA3
68,PC69,ATSC6c
69,PC70,n7Ring
70,PC71,n11FHRing
71,PC72,n11FRing
72,PC73,nAcid
73,PC74,n7HRing
74,PC75,n7HRing
75,PC76,JGI9
76,PC77,MDEO-12
77,PC78,C3SP3
78,PC79,MDEN-33
79,PC80,MDEO-22
80,PC81,C3SP3
81,PC82,RNCG
82,PC83,C3SP3
83,PC84,MDEN-11
84,PC85,MDEN-11
85,PC86,n5AHRing
86,PC87,ATSC7c
87,PC88,ATSC6c
88,PC89,n9FAHRing
89,PC90,EState_VSA6
90,PC91,EState_VSA3
91,PC92,MDEN-33
92,PC93,JGI9
93,PC94,EState_VSA4
94,PC95,MDEN-13
95,PC96,EState_VSA3
96,PC97,MDEN-22
97,PC98,nBase
98,PC99,MDEN-12
99,PC100,EState_VSA4
