,PCX,Highest contributing feature
0,PC1,1928
1,PC2,1019
2,PC3,650
3,PC4,1374
4,PC5,90
5,PC6,1950
6,PC7,1067
7,PC8,1719
8,PC9,2009
9,PC10,1224
10,PC11,1140
11,PC12,1171
12,PC13,90
13,PC14,610
14,PC15,483
15,PC16,695
16,PC17,1274
17,PC18,226
18,PC19,1487
19,PC20,1231
20,PC21,114
21,PC22,1231
22,PC23,39
23,PC24,1138
24,PC25,1865
25,PC26,80
26,PC27,1488
27,PC28,1626
28,PC29,367
29,PC30,209
30,PC31,1816
31,PC32,139
32,PC33,428
33,PC34,1163
34,PC35,1063
35,PC36,1236
36,PC37,1246
37,PC38,1233
38,PC39,130
39,PC40,1631
40,PC41,1163
41,PC42,904
42,PC43,1333
43,PC44,283
44,PC45,209
45,PC46,570
46,PC47,1430
47,PC48,406
48,PC49,1594
49,PC50,115
50,PC51,1139
51,PC52,570
52,PC53,1594
53,PC54,1171
54,PC55,1139
55,PC56,115
56,PC57,433
57,PC58,570
58,PC59,1139
59,PC60,1308
60,PC61,1318
61,PC62,23
62,PC63,1451
63,PC64,1103
64,PC65,423
65,PC66,1238
66,PC67,1683
67,PC68,281
68,PC69,1047
69,PC70,1457
70,PC71,1935
71,PC72,1047
72,PC73,1375
73,PC74,543
74,PC75,578
75,PC76,1763
76,PC77,281
77,PC78,351
78,PC79,1587
79,PC80,1146
80,PC81,1906
81,PC82,14
82,PC83,351
83,PC84,1375
84,PC85,1343
85,PC86,965
86,PC87,23
87,PC88,1603
88,PC89,1906
89,PC90,1496
90,PC91,1375
91,PC92,1375
92,PC93,1496
93,PC94,1688
94,PC95,1895
95,PC96,518
96,PC97,1496
97,PC98,1587
98,PC99,585
99,PC100,1309
