Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_18943.sdf            ,001_19053.sdf            ,0.41076        ,0.41076        ,0.41076        ,Yes       ,
0         ,2         ,000_18943.sdf            ,002_16940.sdf            ,0.37344        ,0.37344        ,0.37344        ,No        ,
0         ,3         ,000_18943.sdf            ,003_19057.sdf            ,0.17716        ,0.17716        ,0.17716        ,No        ,
0         ,4         ,000_18943.sdf            ,004_17403.sdf            ,0.62642        ,0.62642        ,0.62642        ,No        ,
0         ,5         ,000_18943.sdf            ,005_17879.sdf            ,0.71439        ,0.71439        ,0.71439        ,No        ,
0         ,6         ,000_18943.sdf            ,006_19065.sdf            ,0.66362        ,0.66362        ,0.66362        ,No        ,
0         ,7         ,000_18943.sdf            ,007_20735.sdf            ,0.45999        ,0.45999        ,0.45999        ,No        ,
0         ,8         ,000_18943.sdf            ,008_17409.sdf            ,0.46319        ,0.46319        ,0.46319        ,No        ,
0         ,9         ,000_18943.sdf            ,009_17401.sdf            ,0.87860        ,0.87860        ,0.87860        ,Yes       ,
0         ,10        ,000_18943.sdf            ,010_18004.sdf            ,0.54818        ,0.54818        ,0.54818        ,No        ,
0         ,11        ,000_18943.sdf            ,011_19030.sdf            ,0.17395        ,0.17395        ,0.17395        ,No        ,
0         ,12        ,000_18943.sdf            ,012_19051.sdf            ,0.56048        ,0.56048        ,0.56048        ,No        ,
0         ,13        ,000_18943.sdf            ,013_18945.sdf            ,0.88983        ,0.88983        ,0.88983        ,Yes       ,
0         ,14        ,000_18943.sdf            ,014_18006.sdf            ,0.27880        ,0.27880        ,0.27880        ,No        ,
0         ,15        ,000_18943.sdf            ,015_20213.sdf            ,0.31332        ,0.31332        ,0.31332        ,No        ,
0         ,16        ,000_18943.sdf            ,016_19052.sdf            ,0.26909        ,0.26909        ,0.26909        ,No        ,
0         ,17        ,000_18943.sdf            ,017_17411.sdf            ,0.17639        ,0.17639        ,0.17639        ,No        ,
0         ,18        ,000_18943.sdf            ,018_19031.sdf            ,0.12857        ,0.12857        ,0.12857        ,No        ,
0         ,19        ,000_18943.sdf            ,019_17399.sdf            ,0.18644        ,0.18644        ,0.18644        ,No        ,
0         ,20        ,000_18943.sdf            ,020_19032.sdf            ,0.11288        ,0.11288        ,0.11288        ,No        ,
0         ,21        ,000_18943.sdf            ,021_18941.sdf            ,0.39653        ,0.39653        ,0.39653        ,No        ,
0         ,22        ,000_18943.sdf            ,022_18661.sdf            ,0.56238        ,0.56238        ,0.56238        ,No        ,
0         ,23        ,000_18943.sdf            ,023_18939.sdf            ,0.76507        ,0.76507        ,0.76507        ,No        ,
0         ,24        ,000_18943.sdf            ,024_17876.sdf            ,0.44916        ,0.44916        ,0.44916        ,No        ,
0         ,25        ,000_18943.sdf            ,025_19362.sdf            ,0.60231        ,0.60231        ,0.60231        ,No        ,
0         ,26        ,000_18943.sdf            ,026_19061.sdf            ,0.12014        ,0.12014        ,0.12014        ,No        ,
0         ,27        ,000_18943.sdf            ,027_17400.sdf            ,0.19798        ,0.19798        ,0.19798        ,No        ,
0         ,28        ,000_18943.sdf            ,028_19060.sdf            ,0.13983        ,0.13983        ,0.13983        ,No        ,
0         ,29        ,000_18943.sdf            ,029_18983.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,30        ,000_18943.sdf            ,030_17877.sdf            ,0.54278        ,0.54278        ,0.54278        ,No        ,
0         ,31        ,000_18943.sdf            ,031_17402.sdf            ,0.59763        ,0.59763        ,0.59763        ,No        ,
0         ,32        ,000_18943.sdf            ,032_19050.sdf            ,0.45068        ,0.45068        ,0.45068        ,No        ,
1         ,2         ,001_19053.sdf            ,002_16940.sdf            ,0.23837        ,0.23837        ,0.23837        ,No        ,
