pert,ddg,ddg_sem,bound_sem,free_sem
ejm_46~jmc_23,0.6781888000000045,0.21222398669159281,0.2067159611852457,0.04803677672922431
ejm_46~jmc_30,0.5051411999999997,0.19414666184176327,0.1808270456276936,0.07067181810212608
jmc_27~jmc_28,-0.8705303999999998,0.16496516748228998,0.16427974428535,0.015022386627962875
ejm_43~ejm_31,-0.8176363333333327,0.4239659674609244,0.42175998925521724,0.043193205814301736
ejm_31~ejm_45,2.060520366666662,0.6665623078742409,0.2318793672286092,0.6249298115246976
jmc_23~ejm_46,-1.999860833333333,1.0844047291284264,1.0830051260824136,0.05507734048872673
ejm_42~ejm_50,-0.33272300000000143,0.0985556436642096,0.09065200842268581,0.0386707676029318
jmc_27~ejm_46,-0.5293723333333311,0.25587403912142237,0.2536920849921111,0.03334441345513001
ejm_31~ejm_42,0.2674406666666691,0.1438916778112772,0.14072963545696404,0.02999974412381578
ejm_55~ejm_47,0.021013833333341836,0.9558351283831825,0.7340853784080683,0.6121596604308209
ejm_45~ejm_31,-1.4750073666666665,0.6856803202739845,0.1657205653832373,0.6653526852881065
jmc_30~jmc_27,0.29710024999999973,0.22819351483038636,0.22795983050437477,0.010324528418407015
ejm_50~ejm_55,0.6736834999999957,0.13731361283967103,0.12572833814584694,0.05520338085811991
ejm_44~ejm_31,-6.342113166666671,7.467902774875142,7.467668577533385,0.0591428026759057
ejm_55~ejm_50,-0.4967305000000124,0.2715267869138324,0.2713406192581871,0.010053076759545315
jmc_30~ejm_46,-0.13628083333333318,0.34414503713454714,0.34119431815723095,0.044969365589933655
ejm_54~ejm_50,-1.7690790000000192,0.24251054877534836,0.23933063256938195,0.039143512633131296
jmc_28~jmc_27,0.9521579999999998,0.06953224980769719,0.06815832674119873,0.013754136074650375
ejm_50~ejm_54,-40.465193416666665,42.410697196786685,42.40819864535079,0.46035244541281756
jmc_30~jmc_28,-0.4574715000000005,0.30812519036295205,0.3074444804916453,0.02047008430436422
jmc_23~jmc_27,0.07765033333333804,0.1333948300004331,0.13025562861210008,0.02876893960004611
jmc_28~jmc_30,0.9292428999999984,0.20919330776519454,0.20873847476725527,0.013787282748363999
jmc_27~jmc_30,-0.11703449999999904,0.1665800293388035,0.16414482081889348,0.028379287743880884
ejm_46~jmc_27,0.4089236666666647,0.3183198593313196,0.31151856452135307,0.06545010926856182
jmc_28~ejm_46,0.32109800000000277,0.12237239085921309,0.11052219087812187,0.05253424947688901
ejm_54~ejm_31,-1.0145658666666648,0.25817816989439185,0.2522929880615784,0.054810725090786175
ejm_31~ejm_44,-1.3013237999999987,0.9048773143269422,0.9039487085990221,0.040983974986573045
ejm_31~ejm_54,0.6606526666666639,0.4696569346231588,0.4689310289940063,0.02610222761077012
ejm_46~jmc_28,-0.4580518333333323,0.2423111274515909,0.13541745983593348,0.20093977719317913
ejm_47~ejm_55,-0.3383017999999893,0.7527975097021381,0.6446143802373634,0.38881408334182105
jmc_27~jmc_23,0.007883499999998378,0.1475418208925295,0.14283030487755943,0.036987740142737584
ejm_31~ejm_43,0.328602999999994,0.8334292603193507,0.8326644197221537,0.035697284003537354
ejm_50~ejm_42,0.15186874999999844,0.10121452919407904,0.08355285753080144,0.05712530891309626
ejm_55~ejm_31,-0.7288072499999991,0.11469560611743511,0.1052170892531048,0.04565573558437097
ejm_43~ejm_44,-3.0325145000000013,0.1879037634794733,0.1840909892498811,0.03766074888727003
ejm_42~ejm_31,-0.2584364000000008,0.1495177583004109,0.14813050524736654,0.020320272201424953
ejm_31~ejm_55,0.7852562499999998,0.23363058704194206,0.23287092037077814,0.018825133392068337
ejm_44~ejm_43,2.457594666666667,1.327284550878011,1.3250297336118324,0.07733358936451844
ejm_45~jmc_28,nan,--,0.2416591256954607,--
ejm_45~jmc_27,-0.433662833333333,0.3027383616224945,0.2940317494741758,0.07208221624664277
ejm_45~ejm_49,0.28662739999999687,0.7924928755888345,0.7729333443302598,0.17498286510827296
ejm_45~jmc_23,0.33462120000000084,0.5381847748304851,0.5118296942268394,0.16635268548177998
ejm_45~jmc_30,-1.6741677499999987,0.9663322009432003,0.909366791370638,0.32687912342638226
ejm_45~ejm_46,0.2070272333333314,0.31476839741481016,0.2739038337855604,0.1550994321351951
ejm_45~ejm_47,-1.8660101333333294,0.6075274942290687,0.5746366770086468,0.1971860686780665
ejm_45~ejm_48,-0.9520961666666654,0.283493320596261,0.23968829916183734,0.15138686226882425
ejm_31~jmc_28,0.42673410000000445,0.31325433081588794,0.2278215247276911,0.21500146196168016
ejm_54~jmc_30,-0.9052327500000104,0.9503562894479254,0.9114915181656931,0.2689986788168838
ejm_50~jmc_30,3.318414033333326,1.335358935191285,1.2018711692358557,0.581970083728399
ejm_42~ejm_48,-0.565115800000001,0.9701914255069667,0.925559613840913,0.29087936220003646
