#ID	FileName
0	000_10920.sdf
1	000_14336.mol2
2	001_14330.sdf
3	001_14347.mol2
4	002_14336.sdf
5	002_15696.sdf
6	002_17333.mol2
7	003_14347.sdf
8	003_14349.mol2
9	003_15694.sdf
10	004_14348.sdf
11	004_15696.mol2
12	004_17334.sdf
13	005_14336.sdf
14	005_14348.mol2
15	005_14349.sdf
16	006_15694.sdf
17	006_15697.mol2
18	006_16393.sdf
19	007_14347.sdf
20	007_15694.mol2
21	007_15696.sdf
22	008_14330.mol2
23	008_14349.sdf
24	008_15697.sdf
25	009_10920.mol2
26	009_14348.sdf
27	009_16393.sdf
28	010_17333.sdf
29	010_17334.mol2
30	011_15697.sdf
31	011_16393.mol2
32	011_17334.sdf
