index,CID,SMILES
18525,JOH-UNI-e398da21-2,CSC1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17302,EDJ-MED-841e0cf0-3,CO[C@]1(C(=O)Nc2cncc3ccc(F)cc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17319,EDJ-MED-670ad2ee-3,CO[C@@]1(C(=O)Nc2cncc3ccc(F)cc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17393,PET-UNK-9bf1291a-1,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17439,ALP-POS-5290f14d-1,COC1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17507,MIC-UNK-6e9f8a43-1,CSC1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17519,EDJ-MED-923a35c2-5,COC1(C(=O)Nc2cncc3ccc(F)cc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17617,PET-UNK-03fd2068-9,CO[C@@]1(C(=O)Nc2cncc3cc(F)ccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17747,EDJ-MED-cf877e1d-2,COC1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)N(C)C)Cc2ccc(Cl)cc21
17761,PET-UNK-bcc8fd08-4,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17762,PET-UNK-bcc8fd08-5,CO[C@@]1(C(=O)Nc2cncc3ccc(F)cc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17763,PET-UNK-bcc8fd08-6,CO[C@@]1(C(=O)Nc2cncc3cc(F)ccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17833,MIC-UNK-ea4eb352-2,COC1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
17887,PET-UNK-88d26eaf-1,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)N(C)C)Cc2ccc(Cl)cc21
18304,PET-UNK-c65ea24c-1,CO[C@@]1(C(=O)Nc2cncc3cc(C#N)ccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
18561,PET-UNK-ad758083-1,COCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21
19069,PET-UNK-757f8bc8-2,COC(C)(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2[C@](OC)(C(=O)Nc2cncc3ccccc23)C1
19070,PET-UNK-757f8bc8-3,COCCS(=O)(=O)N1Cc2ccc(Cl)cc2[C@](OC)(C(=O)Nc2cncc3ccccc23)C1
19071,PET-UNK-757f8bc8-4,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CN(C)C)Cc2ccc(Cl)cc21
