pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
18631-1~18634-1_jnk1_bound,-6.037005,-5.64874,-6.196029,-5.817491,-5.927489,0.09324301350900235
45~27_mcl_bound,-1.995347,-1.257865,-1.40331,-1.971322,-1.052126,0.1909979937216619
18625-1~18624-1_jnk1_bound,-6.570926,-6.531392,-7.487922,-6.727972,-7.475806,0.21606372888330888
ejm_45~ejm_31_tyk2_bound,-25.200011,-25.26032,-25.406971,-25.047854,-25.206058,0.05775899725705045
20667_2qbp~23486_ptp1b_bound,10.362935,9.851784,10.243275,10.16405,10.209411,0.0852567910849335
18624-1~18628-1_jnk1_bound,2.472112,3.646749,3.018303,2.40128,3.110353,0.2283921761927496
CAT-4d~CAT-4b_bace_bound,1.54147,1.669027,1.899205,1.405316,1.264492,0.10919213102463017
6b~6e_thrombin_bound,-1.062482,-1.479865,-0.925793,-1.434773,-0.970756,0.11766570574105269
23477~23466_ptp1b_free,34.010187,34.872466,25.363676,33.563673,34.600184,1.7941145406992105
CAT-4l~CAT-4i_bace_bound,-73.654793,-73.833709,-73.918506,-73.773121,-73.783848,0.043005161321170875
45~27_mcl_free,-5.884358,-5.742017,-5.572607,-6.045437,-6.094993,0.09654169222962689
27~47_mcl_free,3.984865,4.147966,4.770151,4.452895,4.450896,0.1361600009762779
CAT-4d~CAT-4b_bace_free,3.127898,3.1274,3.064338,3.463735,3.415804,0.08278496758590896
1c~1d_thrombin_free,-0.528583,-0.670802,-0.490969,-0.515937,-0.472507,0.03513401351340322
p38a_2aa~p38a_3fly_p38_free,-87.922015,-87.988192,-87.609159,-87.880801,-88.09959,0.08156461679588732
1b~1c_thrombin_bound,-1.491757,-1.627573,-1.525882,-1.637622,-1.466638,0.03508438219008563
6e~1a_thrombin_free,4.481264,4.218811,4.218826,3.968663,3.961493,0.09634919523825829
18631-1~18634-1_jnk1_free,-5.037872,-4.762537,-4.712121,-4.216023,-4.839841,0.1362110453224701
20667_2qbp~23486_ptp1b_free,10.618489,10.748925,10.578362,10.815372,10.729479,0.043586489299552354
6a~6e_thrombin_free,-1.515299,-1.635189,-1.617662,-1.397168,-1.438247,0.04722138432638331
18624-1~18628-1_jnk1_free,3.406844,3.381852,3.381547,3.092948,3.35669,0.058298927700601855
7a~3a_thrombin_bound,4.129732,3.332132,3.48474,3.232462,2.66866,0.23479623375139555
20670_2qbs~23477_ptp1b_free,-32.946039,-32.895167,-32.941439,-32.970084,-33.187073,0.051233608439772683
p38a_3fly~p38a_3fmk_p38_free,-7.017802,-7.040079,-7.261443,-7.973673,-6.855566,0.19689293765714402
18631-1~18624-1_jnk1_free,-8.05114,-7.996772,-8.008457,-8.17596,-8.003249,0.033593391624841894
3b~1a_thrombin_bound,-0.203595,0.170261,0.546685,0.988184,0.045489,0.20847355192359532
18634-1~18624-1_jnk1_bound,-0.112364,0.088934,0.308037,-0.391777,-0.354604,0.13266647793448047
CAT-4l~CAT-4p_bace_bound,-59.513537,-60.747792,-59.793681,-59.767436,-59.677733,0.21752982351516706
6a~6e_thrombin_bound,-0.834779,-1.261751,-1.294812,-1.10461,-1.239192,0.08449686532730076
6e~1a_thrombin_bound,4.956662,5.218639,6.112023,4.880484,5.331401,0.2191873079143498
27~47_mcl_bound,8.824158,7.880529,8.273794,8.4561,7.997601,0.16826716735851946
ejm_46~jmc_30_tyk2_free,7.550704,7.264365,6.747441,7.770905,7.225741,0.1726281884514808
jmc_28~jmc_30_tyk2_free,31.481747,31.363085,31.333113,31.139336,31.425652,0.05826929616238706
20670_2qbs~23477_ptp1b_bound,-32.273651,-32.472753,-32.50277,-32.480837,-32.410682,0.041538273527675196
ejm_45~ejm_31_tyk2_free,-25.220056,-25.055661,-23.916358,-25.108982,-24.810781,0.23619031868994997
CAT-13j~CAT-13n_bace_bound,-78.102304,-78.093433,-77.983225,-78.518127,-77.376882,0.18372731462888345
6b~6e_thrombin_free,-1.006528,-0.950332,-1.156097,-1.100631,-1.04436,0.035820924078811794
18625-1~18624-1_jnk1_free,-7.146234,-7.129754,-6.804824,-6.80292,-6.872129,0.0773255788936623
18634-1~18624-1_jnk1_free,-3.323582,-3.630016,-3.01902,-3.141661,-3.15493,0.10580171975558811
18625-1~18628-1_jnk1_free,-3.855501,-3.816805,-3.862717,-3.890485,-3.803359,0.015841383277984275
p38a_3fly~p38a_3flw_p38_bound,-42.705428,-51.882802,-47.59408,-45.163066,-44.074967,1.6125351283724516
3b~1a_thrombin_free,1.138298,1.223374,1.275933,1.02132,1.082639,0.04607690021626889
1a~5_thrombin_free,-1.660693,-1.654388,-1.890791,-1.599334,-1.598395,0.05414118885599024
1d~3a_thrombin_bound,-1.836866,-2.419409,-1.654187,-2.315284,-1.940351,0.14483570060264836
CAT-13j~CAT-13n_bace_free,-78.965336,-79.140065,-79.329529,-79.118023,-79.150439,0.05788713979771339
p38a_3fly~p38a_2z_p38_bound,37.74162,37.068349,33.207038,37.137753,35.937144,0.8073174233331892
1d~3a_thrombin_free,-1.633014,-1.800652,-2.10024,-1.769622,-2.033007,0.08677347826035325
1c~1d_thrombin_bound,-0.253965,0.082227,-0.21161,-0.488099,-0.299663,0.0921349862440973
1b~1c_thrombin_free,-1.273339,-1.333912,-1.365814,-1.316241,-1.306666,0.01526171016170862
p38a_2aa~p38a_3fly_p38_bound,-87.790268,-87.612725,-88.763713,-86.458757,-88.070899,0.37535244970954795
p38a_3fly~p38a_2z_p38_free,32.275594,35.27971,32.560611,35.749007,35.362634,0.7515814189971303
CAT-4l~CAT-4p_bace_free,-57.624162,-57.402789,-57.136314,-57.399976,-57.644366,0.09243411075009032
jmc_28~jmc_30_tyk2_bound,29.870057,29.191838,29.194698,29.846334,29.09685,0.1716924146267386
1a~5_thrombin_bound,-1.034731,-1.161607,-1.419742,-1.19685,-1.198249,0.062073507177700216
23479~23482_ptp1b_free,-115.597715,-115.74025,-114.964337,-115.21626,-115.643394,0.14704057449268848
jmc_28~ejm_46_tyk2_bound,8.15298,7.513674,7.957411,7.940415,6.97316,0.2111848817389634
20670_2qbs~23466_ptp1b_free,1.832812,0.532419,-6.581412,1.631024,1.259462,1.594563327435822
ejm_46~jmc_30_tyk2_bound,6.67058,7.570361,6.656727,7.230116,6.656436,0.18885747974623612
7a~3a_thrombin_free,3.396931,3.357796,2.946655,3.623114,3.329408,0.10911436308268499
18635-1~18628-1_jnk1_bound,3.610961,4.275583,4.361799,4.250888,4.695236,0.1759465048293373
20670_2qbs~23466_ptp1b_bound,-5.886898,2.36335,-5.490351,3.07976,2.372322,2.036669716094036
23479~23482_ptp1b_bound,-115.626008,-115.642558,-115.63788,-115.738,-116.811522,0.23095275349161778
18631-1~18624-1_jnk1_bound,-6.582271,-6.211426,-5.807152,-5.275661,-5.898135,0.21746463068301475
18625-1~18628-1_jnk1_bound,-4.096566,-4.191186,-4.098714,-4.233647,-4.167505,0.02664765993215917
p38a_3fly~p38a_3fmk_p38_bound,-10.603199,-8.473978,-10.020119,-10.568426,-9.32776,0.4040665780819542
jmc_28~ejm_46_tyk2_free,9.041093,8.959439,9.519763,8.788185,8.791205,0.13415679855005472
