pert,freenrg_1,freenrg_2,freenrg_3,freenrg_4,freenrg_5,SEM
41~54_hif2a,3.832991,3.061329,3.784369,3.715167,3.377575,0.1467533204811393
17~43_cdk8,8.88913,1.506434,-4.470037,-0.909904,9.434322,2.7325938329993353
lig_p38a_2aa~lig_p38a_3fly_p38,-7.025834,-10.126767,-4.123236,-10.583621,-9.571853,1.209080755554541
33~23_cdk8,9.795358,10.421458,11.147158,8.751418,9.285548,0.420303507313465
40~20_cdk8,-75.489904,-81.006832,-93.654883,-80.395157,-79.627543,3.061062121207889
30~38_cdk8,5.132391,5.221563,5.033257,4.888506,5.221889,0.06319290387725514
lig_CAT-13j~lig_CAT-13n_bace,66.026577,66.006066,65.985698,66.042012,65.953796,0.015503966280923853
out17~out8_shp2,-28.205289,-28.268545,-29.540913,-27.536095,-28.900393,0.34006452788728203
10~out8_shp2,-126.258381,-127.347112,-126.341465,-128.150521,-128.07804,0.4070413773253755
36~20_cdk8,-48.442921,-44.732973,-47.858001,-47.253238,-48.314834,0.6796049008561219
20~31_cdk8,34.476199,39.004757,35.353144,34.01922,39.464506,1.1537067339789344
out16~out8_shp2,24.161004,18.093862,23.030529,20.109541,20.948069,1.0722759429442121
7b~167_hif2a,22.893161,23.092419,22.874637,22.873319,22.694715,0.06306320180453906
43~42_cdk8,-5.236872,-5.240111,-5.257405,-5.112029,-4.957292,0.05709807768165234
lig_1a~lig_5_thrombin,1.609069,1.738474,1.632821,1.526599,1.656495,0.03432943471075514
24~21_cdk8,77.213738,76.737745,77.707235,77.057589,76.302125,0.2350447854894031
lig_CAT-4l~lig_CAT-4i_bace,67.088453,67.086291,66.967576,67.049215,67.064313,0.022122414017463413
40~25_cdk8,-265.632533,-263.555606,-266.182146,-267.333883,-266.248678,0.6230990889927044
lig_18652-1~lig_18634-1_jnk1,65.231373,66.283612,68.570812,67.035252,69.203504,0.7285083397798257
237~1_hif2a,-10.166603,-10.383058,-10.438613,-10.590933,-10.7158,0.09354982074306706
227~234_hif2a,-4.385383,-4.028862,-4.107922,-4.190245,-3.955952,0.07409167593151068
lig_1b~lig_1c_thrombin,-0.190279,-0.172743,-0.183012,-0.152461,-0.221254,0.011290877890580519
CHEMBL1082249~CHEMBL1096002_eg5,45.274671,45.191688,45.501573,45.101985,46.454618,0.24651805155180917
CAT-4d~CAT-4b_bace,-0.379285,-0.788202,-0.553568,-0.687204,-0.34539,0.08561076489811313
36~19_cdk8,-30.068965,-29.825608,-30.012267,-29.990478,-29.855867,0.04690452084074629
256~61_hif2a,51.721814,51.593975,51.210183,51.944211,51.912139,0.13294927420170494
lig_6e~lig_1a_thrombin,-6.807538,-6.798035,-6.428132,-6.27315,-6.244029,0.12349771883375002
lig_p38a_2z~lig_p38a_3flw_p38,-7.291374,-8.226673,-7.009232,-7.377753,-6.91285,0.23227829697942082
17~45_cdk8,29.82866,30.31927,29.137634,30.777532,29.137062,0.32374638255362814
23~234_hif2a,12.085243,12.796851,12.220289,12.93703,12.238185,0.17146893508376387
