Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_lig_ejm_44.sdf       ,001_lig_ejm_49.sdf       ,0.33642        ,0.33642        ,0.33642        ,No        ,
0         ,2         ,000_lig_ejm_44.sdf       ,002_lig_ejm_55.sdf       ,0.68418        ,0.68418        ,0.68418        ,Yes       ,
0         ,3         ,000_lig_ejm_44.sdf       ,003_lig_jmc_28.sdf       ,0.48078        ,0.48078        ,0.48078        ,No        ,
0         ,4         ,000_lig_ejm_44.sdf       ,004_lig_ejm_43.sdf       ,0.60194        ,0.60194        ,0.60194        ,No        ,
0         ,5         ,000_lig_ejm_44.sdf       ,005_lig_ejm_50.sdf       ,0.66797        ,0.66797        ,0.66797        ,No        ,
0         ,6         ,000_lig_ejm_44.sdf       ,006_lig_ejm_46.sdf       ,0.59821        ,0.59821        ,0.59821        ,No        ,
0         ,7         ,000_lig_ejm_44.sdf       ,007_lig_ejm_54.sdf       ,0.62554        ,0.62554        ,0.62554        ,No        ,
0         ,8         ,000_lig_ejm_44.sdf       ,008_lig_ejm_45.sdf       ,0.52585        ,0.52585        ,0.52585        ,No        ,
0         ,9         ,000_lig_ejm_44.sdf       ,009_lig_ejm_47.sdf       ,0.51876        ,0.51876        ,0.51876        ,No        ,
0         ,10        ,000_lig_ejm_44.sdf       ,010_lig_ejm_31.sdf       ,0.78490        ,0.78490        ,0.78490        ,Yes       ,
0         ,11        ,000_lig_ejm_44.sdf       ,011_lig_jmc_30.sdf       ,0.36848        ,0.36848        ,0.36848        ,No        ,
0         ,12        ,000_lig_ejm_44.sdf       ,012_lig_jmc_27.sdf       ,0.46920        ,0.46920        ,0.46920        ,No        ,
0         ,13        ,000_lig_ejm_44.sdf       ,013_lig_ejm_48.sdf       ,0.41747        ,0.41747        ,0.41747        ,No        ,
0         ,14        ,000_lig_ejm_44.sdf       ,014_lig_ejm_42.sdf       ,0.70483        ,0.70483        ,0.70483        ,No        ,
0         ,15        ,000_lig_ejm_44.sdf       ,015_lig_jmc_23.sdf       ,0.42562        ,0.42562        ,0.42562        ,No        ,
1         ,2         ,001_lig_ejm_49.sdf       ,002_lig_ejm_55.sdf       ,0.83050        ,0.83050        ,0.83050        ,Yes       ,
1         ,3         ,001_lig_ejm_49.sdf       ,003_lig_jmc_28.sdf       ,0.62659        ,0.62659        ,0.62659        ,No        ,
1         ,4         ,001_lig_ejm_49.sdf       ,004_lig_ejm_43.sdf       ,0.74803        ,0.74803        ,0.74803        ,Yes       ,
1         ,5         ,001_lig_ejm_49.sdf       ,005_lig_ejm_50.sdf       ,0.81426        ,0.81426        ,0.81426        ,Yes       ,
1         ,6         ,001_lig_ejm_49.sdf       ,006_lig_ejm_46.sdf       ,0.74432        ,0.74432        ,0.74432        ,Yes       ,
1         ,7         ,001_lig_ejm_49.sdf       ,007_lig_ejm_54.sdf       ,0.77172        ,0.77172        ,0.77172        ,Yes       ,
1         ,8         ,001_lig_ejm_49.sdf       ,008_lig_ejm_45.sdf       ,0.67179        ,0.67179        ,0.67179        ,Yes       ,
1         ,9         ,001_lig_ejm_49.sdf       ,009_lig_ejm_47.sdf       ,0.66466        ,0.66466        ,0.66466        ,No        ,
1         ,10        ,001_lig_ejm_49.sdf       ,010_lig_ejm_31.sdf       ,0.93148        ,0.93148        ,0.93148        ,No        ,
1         ,11        ,001_lig_ejm_49.sdf       ,011_lig_jmc_30.sdf       ,0.51401        ,0.51401        ,0.51401        ,No        ,
1         ,12        ,001_lig_ejm_49.sdf       ,012_lig_jmc_27.sdf       ,0.61498        ,0.61498        ,0.61498        ,Yes       ,
1         ,13        ,001_lig_ejm_49.sdf       ,013_lig_ejm_48.sdf       ,0.56312        ,0.56312        ,0.56312        ,Yes       ,
1         ,14        ,001_lig_ejm_49.sdf       ,014_lig_ejm_42.sdf       ,0.85121        ,0.85121        ,0.85121        ,No        ,
1         ,15        ,001_lig_ejm_49.sdf       ,015_lig_jmc_23.sdf       ,0.57130        ,0.57130        ,0.57130        ,Yes       ,
