lig_1,lig_2,freenrg,error,engine
1a,3a,-1.1167,0.1835,SOMD
3a,1a,0.9231,0.1896,SOMD
1a,1b,-1.4349,0.0989,SOMD
1b,1a,1.1471,0.0951,SOMD
5k,5c,0.3341,0.1541,SOMD
5c,5k,0.3764,0.1697,SOMD
5k,5j,-0.9498,0.085,SOMD
5j,5k,0.825,0.0775,SOMD
5k,5a,2.713,0.0974,SOMD
5a,5k,-2.1901,0.0907,SOMD
5k,5e,1.1237,0.0904,SOMD
5e,5k,-0.3532,0.0984,SOMD
5k,5h,2.8775,0.0902,SOMD
5h,5k,-1.2886,0.0977,SOMD
5k,5m,-0.3068,0.0443,SOMD
5m,5k,0.6177,0.0449,SOMD
5c,5b,-0.4413,0.0758,SOMD
5b,5c,-0.8623,0.0753,SOMD
5j,5m,0.2183,0.1129,SOMD
5m,5j,0.0277,0.1509,SOMD
3b,3a,0.9247,0.0538,SOMD
3a,3b,-0.7613,0.0541,SOMD
3b,5l,-0.2644,0.1064,SOMD
5l,3b,0.8861,0.1143,SOMD
5b,7,-1.0922,0.0914,SOMD
7,5b,-1.7126,0.0909,SOMD
3a,5d,-0.3299,0.0757,SOMD
5d,3a,0.6292,0.0794,SOMD
5g,5f,0.703,0.0741,SOMD
5f,5g,-0.6596,0.0751,SOMD
5g,7,1.391,0.1502,SOMD
7,5g,-1.9481,0.1497,SOMD
5f,5i,-0.811,0.0452,SOMD
5i,5f,0.3847,0.0437,SOMD
5o,7,4.7905,0.3027,SOMD
7,5o,-5.2451,0.3697,SOMD
5o,5n,0.7881,0.0974,SOMD
5n,5o,-1.4606,0.1033,SOMD
5o,5p,0.4612,0.168,SOMD
5p,5o,0.3684,0.1574,SOMD
5l,5e,1.393,0.1575,SOMD
5e,5l,-0.4395,0.1578,SOMD
5l,7,2.1221,0.108,SOMD
7,5l,-2.7013,0.1064,SOMD
7,1b,0.5998,0.6874,SOMD
1b,7,-0.5998,0.6874,SOMD
7,5d,1.132,0.0399,SOMD
5d,7,0.0553,0.0411,SOMD
7,5i,1.5165,0.1292,SOMD
5i,7,1.6233,0.1195,SOMD
5h,5m,-0.8508,0.1021,SOMD
5m,5h,2.7319,0.1063,SOMD
5n,5p,-0.0286,0.1254,SOMD
5p,5n,-0.3191,0.1246,SOMD
5p,5i,1.3675,0.3499,SOMD
5i,5p,-0.6337,0.3785,SOMD
