lig_1_path,lig_2_path,lig_1_smiles,lig_2_smiles,lig_1_benzene_deriv,lig_2_benzene_deriv,sf_prediction
input_files_example/ejm_44.sdf,input_files_example/jmc_27.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2Cl)c1)c1c(Cl)cccc1Cl,CC(C)(C)Cc1ccccc1,ClC1CC1Cc1ccccc1,0.41346765
input_files_example/jmc_27.sdf,input_files_example/ejm_44.sdf,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2Cl)c1)c1c(Cl)cccc1Cl,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,ClC1CC1Cc1ccccc1,CC(C)(C)Cc1ccccc1,0.3067519
input_files_example/ejm_44.sdf,input_files_example/ejm_54.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)Cc1ccccc1,CCNCc1ccccc1,0.28759256
input_files_example/ejm_54.sdf,input_files_example/ejm_44.sdf,CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CCNCc1ccccc1,CC(C)(C)Cc1ccccc1,0.24413371
input_files_example/ejm_44.sdf,input_files_example/ejm_46.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl,CC(C)(C)Cc1ccccc1,c1ccc(CC2CC2)cc1,0.27048305
input_files_example/ejm_46.sdf,input_files_example/ejm_44.sdf,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,c1ccc(CC2CC2)cc1,CC(C)(C)Cc1ccccc1,0.2010797
input_files_example/ejm_44.sdf,input_files_example/ejm_31.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)c1ccccc1,c1ccccc1,0.12636554
input_files_example/ejm_31.sdf,input_files_example/ejm_44.sdf,CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,c1ccccc1,CC(C)(C)c1ccccc1,0.1532789
input_files_example/ejm_44.sdf,input_files_example/jmc_28.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)Cc1ccccc1,CC1CC1Cc1ccccc1,0.47196755
input_files_example/jmc_28.sdf,input_files_example/ejm_44.sdf,C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC1CC1Cc1ccccc1,CC(C)(C)Cc1ccccc1,0.31787905
input_files_example/ejm_44.sdf,input_files_example/ejm_48.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(Cl)cccc1Cl,CC(C)(C)Cc1ccccc1,c1ccc(CC2CCCC2)cc1,0.27461296
input_files_example/ejm_48.sdf,input_files_example/ejm_44.sdf,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(Cl)cccc1Cl,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,c1ccc(CC2CCCC2)cc1,CC(C)(C)Cc1ccccc1,0.19061023
input_files_example/ejm_44.sdf,input_files_example/jmc_23.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2F)c1)c1c(Cl)cccc1Cl,CC(C)(C)Cc1ccccc1,FC1CC1Cc1ccccc1,0.40992045
input_files_example/jmc_23.sdf,input_files_example/ejm_44.sdf,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2F)c1)c1c(Cl)cccc1Cl,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,FC1CC1Cc1ccccc1,CC(C)(C)Cc1ccccc1,0.30712664
input_files_example/ejm_44.sdf,input_files_example/ejm_50.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,O=C(CO)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)c1ccccc1,OCc1ccccc1,0.2516926
input_files_example/ejm_50.sdf,input_files_example/ejm_44.sdf,O=C(CO)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,OCc1ccccc1,CC(C)(C)c1ccccc1,0.1810419
input_files_example/ejm_44.sdf,input_files_example/jmc_30.sdf,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,N#C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,CC(C)(C)Cc1ccccc1,N#CC1CC1Cc1ccccc1,0.4139794
