index,CID,SMILES
19585,PET-UNK-c0891748-7,COC1(C(=O)Nc2cncc3ccccc23)CCOc2ncc(Cl)cc21
13678,ALP-POS-477dc5b7-3,O=C(Nc1cncc2ccccc12)C1(CCC2CC2)CCOc2ccc(Cl)cc21
13754,DAR-DIA-6a508060-10,CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
13757,DAR-DIA-6a508060-13,CS(=O)(=O)NCCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15803,MAT-POS-5d65ec79-1,CN(C)C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15804,MAT-POS-5d65ec79-2,CNC(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15990,MAT-POS-2905de8c-1,NC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15991,MAT-POS-2905de8c-2,CNC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
16058,EDG-MED-0e5afe9d-3,COC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
16156,DAR-DIA-e7614d05-1,O=C(Nc1cncc2ccccc12)C1(OC(F)(F)F)CCOc2ccc(Cl)cc21
16407,MAT-POS-9db1e783-2,O=C(Nc1cncc2ccccc12)C1(CO)CCOc2ccc(Cl)cc21
16427,EDJ-MED-8c98ee63-1,COCCCNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
16428,EDJ-MED-8c98ee63-2,Cn1ccc(CNCC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)n1
16438,DAR-DIA-ecdbc7dd-1,O=C(Nc1cncc2ccccc12)C1(Cn2cnc3ccccc32)CCOc2ccc(Cl)cc21
16440,DAR-DIA-ecdbc7dd-3,O=C(Nc1cncc2ccccc12)C1(CN2CCCC2)CCOc2ccc(Cl)cc21
16441,DAR-DIA-ecdbc7dd-4,O=C(Nc1cncc2ccccc12)C1(CN2CCC2)CCOc2ccc(Cl)cc21
16443,DAR-DIA-ecdbc7dd-6,O=C(Nc1cncc2ccccc12)C1(Cn2cnc3ccccc32)CCNc2ccc(Cl)cc21
16445,DAR-DIA-ecdbc7dd-8,O=C(Nc1cncc2ccccc12)C1(CN2CCCC2)CCNc2ccc(Cl)cc21
16446,DAR-DIA-ecdbc7dd-9,O=C(Nc1cncc2ccccc12)C1(CN2CCC2)CCNc2ccc(Cl)cc21
16450,DAR-DIA-ecdbc7dd-13,O=C(Nc1cncc2ccccc12)C1(CN2CC2)CCOc2ccc(Cl)cc21
16451,DAR-DIA-ecdbc7dd-14,O=C(Nc1cncc2ccccc12)C1(CN2CC2)CCNc2ccc(Cl)cc21
16452,DAR-DIA-ecdbc7dd-15,NCC1(C(=O)Nc2cncc3ccccc23)CCNc2ccc(Cl)cc21
16453,DAR-DIA-ecdbc7dd-16,O=C(NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1CC1
16454,DAR-DIA-ecdbc7dd-17,O=C(NCC1(C(=O)Nc2cncc3ccccc23)CCNc2ccc(Cl)cc21)C1CC1
16604,ALP-POS-fe871b40-8,COC1(C(=O)Nc2cncc3ccccc23)CCNc2ncc(Cl)cc21
16618,EDJ-MED-37aac4bd-6,COCC1(C(=O)Nc2cncc3ccccc23)CCOc2ncc(Cl)cc21
16632,MAT-POS-fb82b63d-2,CC1(C(=O)Nc2cncc3ccccc23)NCCc2ccc(Cl)cc21
16645,EDJ-MED-f893e2a1-1,O=C(Nc1cncc2ccccc12)C1(CNCc2ccn[nH]2)CCOc2ccc(Cl)cc21
16647,EDJ-MED-f893e2a1-3,O=C(Nc1cncc2ccccc12)C1(CNCC2(CO)CCC2)CCOc2ccc(Cl)cc21
16652,EDJ-MED-f893e2a1-8,CCNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
16654,EDJ-MED-f893e2a1-10,CC(C)(C#N)CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
16655,EDJ-MED-424a8a89-1,COCCNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
16656,EDJ-MED-424a8a89-2,CC(C)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
