Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,000_16441.sdf            ,001_15803.sdf            ,0.12941        ,0.12941        ,0.12941        ,No        ,
0         ,2         ,000_16441.sdf            ,002_17751.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,3         ,000_16441.sdf            ,003_17299.sdf            ,0.21308        ,0.21308        ,0.21308        ,No        ,
0         ,4         ,000_16441.sdf            ,004_17383.sdf            ,0.15265        ,0.15265        ,0.15265        ,No        ,
0         ,5         ,000_16441.sdf            ,005_13678.sdf            ,0.28417        ,0.28417        ,0.28417        ,No        ,
0         ,6         ,000_16441.sdf            ,006_17774.sdf            ,0.11758        ,0.11758        ,0.11758        ,No        ,
0         ,7         ,000_16441.sdf            ,007_15804.sdf            ,0.14710        ,0.14710        ,0.14710        ,No        ,
0         ,8         ,000_16441.sdf            ,008_17834.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,9         ,000_16441.sdf            ,009_16915.sdf            ,0.25567        ,0.25567        ,0.25567        ,No        ,
0         ,10        ,000_16441.sdf            ,010_17388.sdf            ,0.13682        ,0.13682        ,0.13682        ,No        ,
0         ,11        ,000_16441.sdf            ,011_16908.sdf            ,0.12145        ,0.12145        ,0.12145        ,No        ,
0         ,12        ,000_16441.sdf            ,012_16645.sdf            ,0.16065        ,0.16065        ,0.16065        ,No        ,
0         ,13        ,000_16441.sdf            ,013_17380.sdf            ,0.13354        ,0.13354        ,0.13354        ,No        ,
0         ,14        ,000_16441.sdf            ,014_16451.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,15        ,000_16441.sdf            ,015_16903.sdf            ,0.13853        ,0.13853        ,0.13853        ,No        ,
0         ,16        ,000_16441.sdf            ,016_17386.sdf            ,0.11444        ,0.11444        ,0.11444        ,No        ,
0         ,17        ,000_16441.sdf            ,017_16450.sdf            ,0.11540        ,0.11540        ,0.11540        ,No        ,
0         ,18        ,000_16441.sdf            ,018_16446.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,19        ,000_16441.sdf            ,019_16654.sdf            ,0.18195        ,0.18195        ,0.18195        ,No        ,
0         ,20        ,000_16441.sdf            ,020_17575.sdf            ,0.14223        ,0.14223        ,0.14223        ,No        ,
0         ,21        ,000_16441.sdf            ,021_16893.sdf            ,0.16598        ,0.16598        ,0.16598        ,No        ,
0         ,22        ,000_16441.sdf            ,022_17381.sdf            ,0.12570        ,0.12570        ,0.12570        ,No        ,
0         ,23        ,000_16441.sdf            ,023_16647.sdf            ,0.21735        ,0.21735        ,0.21735        ,No        ,
0         ,24        ,000_16441.sdf            ,024_16427.sdf            ,0.23457        ,0.23457        ,0.23457        ,No        ,
0         ,25        ,000_16441.sdf            ,025_16904.sdf            ,0.12793        ,0.12793        ,0.12793        ,No        ,
0         ,26        ,000_16441.sdf            ,026_16632.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,27        ,000_16441.sdf            ,027_16618.sdf            ,0.42560        ,0.42560        ,0.42560        ,Yes       ,
0         ,28        ,000_16441.sdf            ,028_19585.sdf            ,0.40146        ,0.40146        ,0.40146        ,Yes       ,
0         ,29        ,000_16441.sdf            ,029_15990.sdf            ,0.26679        ,0.26679        ,0.26679        ,No        ,
0         ,30        ,000_16441.sdf            ,030_17159.sdf            ,0.18760        ,0.18760        ,0.18760        ,No        ,
0         ,31        ,000_16441.sdf            ,031_16443.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,32        ,000_16441.sdf            ,032_16156.sdf            ,0.20485        ,0.20485        ,0.20485        ,No        ,
0         ,33        ,000_16441.sdf            ,033_17508.sdf            ,0.30821        ,0.30821        ,0.30821        ,No        ,
0         ,34        ,000_16441.sdf            ,034_17911.sdf            ,0.23558        ,0.23558        ,0.23558        ,No        ,
0         ,35        ,000_16441.sdf            ,035_17501.sdf            ,0.00000        ,0.00000        ,0.00000        ,No        ,
0         ,36        ,000_16441.sdf            ,036_17382.sdf            ,0.11972        ,0.11972        ,0.11972        ,No        ,
0         ,37        ,000_16441.sdf            ,037_13754.sdf            ,0.21452        ,0.21452        ,0.21452        ,No        ,
0         ,38        ,000_16441.sdf            ,038_16652.sdf            ,0.19559        ,0.19559        ,0.19559        ,No        ,
0         ,39        ,000_16441.sdf            ,039_16788.sdf            ,0.05233        ,0.05233        ,0.05233        ,No        ,
0         ,40        ,000_16441.sdf            ,040_17160.sdf            ,0.23557        ,0.23557        ,0.23557        ,No        ,
